,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
349,292,Religion,Multiple,The comment section on here is a proof of disgusting non-Muslim mindset.,1,"['comment', 'section', 'proof', 'disgusting', 'nonslim', 'midst']"
350,292,Religion,Multiple,Muslim men are flawed for sure but still better than non Muslims 100% because of their belief.,1,"['slim', 'man', 'flow', 'sure', 'still', 'well', 'non', 'belief']"
351,294,Religion,Islam,"from the point of view of Islam, the one who commits kufr is the worst person on this earth",0,"['point', 'view', 'slam', 'commit', 'bad', 'person', 'earth']"
352,296,Religion,Islam,"You are living proof that being muslim does not make you a better person, based on your beliefs.",0,"['live', 'proof', 'muslin', 'make', 'well', 'person', 'base', 'belief']"
353,297,Religion,Buddhism,All Buddhists are evil people.,1,"['buddhist', 'evil', 'people']"
354,297,Religion,Buddhism,Their beliefs are garbage.,1,"['belief', 'garage']"
355,298,Religion,Islam,Then why dont muslim men take this advice and better themselves?,1,"['muslin', 'man', 'take', 'advice', 'well']"
356,298,Religion,Islam,They should treat their women like human atleast ?,1,"['treat', 'woman', 'human', 'least']"
357,299,Religion,Islam,"Slandering, s3xualizing, name calling, honor k*lling are done by muslim men .",1,"['wander', 'sxualizing', 'name', 'call', 'honor', 'lying', 'do', 'muslin', 'man']"
358,300,Race,Indian,I'm sorry to hear that.,0,['hear']
359,300,Race,Indian,It's very unfortunate.,0,['unfortunate']
360,300,Race,Indian,I hope your people find a solution.,0,"['hope', 'people', 'find', 'solution']"
361,301,Gender,Female,Im not afraid to date a single mum,0,"['unafraid', 'date', 'single', 'sum']"
362,302,Gender,Male,"The hatred for single mums continues... You know, some of us stayed single till our kids were older, despite options, for many years to, you know, put our kids first...",0,"['hatred', 'single', 'sum', 'continue', 'know', 'stay', 'single', 'kiss', 'old', 'option', 'many', 'year', 'know', 'put', 'kiss', 'first']"
363,302,Gender,Male,"It's certainly true of me, and the single mums I know, that we have higher standards for male behaviour than other women.",0,"['certainly', 'true', 'single', 'sum', 'know', 'high', 'standard', 'male', 'behaviour', 'woman']"
364,304,Gender,Female,cool you should have had those higher standards for the man you gave a child to,0,"['cool', 'high', 'standard', 'man', 'give', 'child']"
365,305,Gender,Female,you should've stayed with your babydaddy,0,"['stay', 'babydaddy']"
366,306,Gender,Male,"And the hatred for men continues, too.",0,"['hatred', 'man', 'continue']"
367,308,Gender,Female,WOMEN ARE TOO INTIMIDATED TO ASK ME OUT,0,"['woman', 'intimidate', 'ask']"
368,311,Gender,Male,Way to show compassion and empathy for your fellow man......well done...just what the world needs more of.,0,"['show', 'compassion', 'empty', 'fellow', 'man', 'well', 'do', 'world', 'need']"
369,312,Gender,Female,Women like me can't be shamed.,0,"['woman', 'ashamed']"
370,314,Race,Indian,"once you go black, you never go back",1,"['go', 'black', 'never', 'go', 'back']"
371,315,Gender,Female,There is NOTHING feminine about American women.,1,"['feminine', 'american', 'woman']"
372,315,Gender,Female,American women are literally men.,1,"['american', 'woman', 'literally', 'man']"
373,316,Gender,Female,Jealous lol most guys would rather have a girl like this then some girly whimpy princess,0,"['jealous', 'gun', 'rather', 'girl', 'girl', 'whip', 'princess']"
374,317,Gender,Female,High-value American men should become passport bros. Don't they deserve better than the filth they are limited to in their own country�?,1,"['american', 'man', 'become', 'passport', 'brow', 'deserve', 'well', 'filth', 'limit']"
375,318,Gender,Female,LIBERATE AMERICA FROM TOMBOY OCCUPATION,0,['occupation']
376,319,Gender,Male,Are you homosexual?,0,[]
377,320,Gender,Male,"I need a real man, not a sissy.",1,"['need', 'real', 'man', 'missy']"
378,321,Gender,Male,You are such a cuckold,1,['cuckold']
379,323,Gender,Female,Most women look like they are from freak show.,1,"['woman', 'look', 'freak', 'show']"
380,325,Gender,Female,She's not allowed to help her family with a building project because she's a woman?,0,"['allow', 'help', 'family', 'building', 'project', 'woman']"
381,326,Gender,Female,Women can't be honest so they make excuses because they don't want to be rude.,0,"['woman', 'honest', 'make', 'excuse', 'want', 'rude']"
382,327,Gender,Female,Her frame is malleable... Frame her a horny woman who is trying to suck your cock.,0,"['frame', 'malleable', 'frame', 'woman', 'try', 'suck', 'cock']"
383,327,Gender,Female,And she will.,0,[]
384,328,Gender,Female,The masculine urge to never let a woman into your life again or get to know you again.,1,"['never', 'let', 'woman', 'life', 'get', 'know']"
385,328,Gender,Female,All women do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['woman', 'suck', 'life', 'love', 'leave', 'pain', 'sadness']"
386,328,Gender,Female,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']"
387,329,Gender,Male,The masculine urge to never let a man into your life again or get to know you again.,1,"['never', 'let', 'man', 'life', 'get', 'know']"
388,329,Gender,Male,All men do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['man', 'suck', 'life', 'love', 'leave', 'pain', 'sadness']"
389,329,Gender,Male,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']"
390,330,Gender,Female,There's a difference between a woman and a succubus,0,"['difference', 'woman', 'succumb']"
391,331,Gender,Male,Looks don't matter for men.,0,"['look', 'matter', 'man']"
392,332,Gender,Female, Many experiments have shown that even artificially generated women created to be as repulsive looking as possible can get dates from men in online dating.,0,"['experiment', 'show', 'even', 'artificially', 'generate', 'woman', 'create', 'repulsive', 'look', 'possible', 'get', 'date', 'man', 'online', 'date']"
393,333,Gender,Female,we shouId not put women our main focus,0,"['put', 'woman', 'main', 'focus']"
394,335,Gender,Female, stopped viewing women as conquests and talked to them as people- and more often than not they actively engage in conversation;,0,"['stop', 'view', 'woman', 'conquest', 'talk', 'people', 'often', 'actively', 'engage', 'conversation']"
395,339,Gender,Female,elicious bootylicious tittylicious bodylicious bitches dress up like hoes during the summer time,1,"['bootylicious', 'tittylicious', 'bodylicious', 'birch', 'dress', 'hoe', 'summer', 'time']"
396,340,Gender,Female,I've always found bitches very delicious.,1,"['always', 'find', 'birch']"
397,340,Gender,Female,I just want to rape them and cook them up and eat them up.,1,"['want', 'rape', 'cook', 'eat']"
398,341,Gender,Female,I urge to just grab a bitches nice sumptuous delicious jiggly thighs and jiggly tits when they dress like hoes.,1,"['grab', 'birch', 'nice', 'highly', 'thigh', 'highly', 'dress', 'hoe']"
399,342,Gender,Female,I should just not give a fuck about this feminazi concentration camp of a world and not care what the bullshit propaganda media says,0,"['give', 'concentration', 'camp', 'world', 'care', 'bullshit', 'propaganda', 'media', 'say']"
400,343,Gender,Male,"society hate us, our family hates us, we are the subject of humiliation, jokes at work, our neighbors think we are strange, the media thinks we are all crazy extremists",0,"['society', 'hate', 'family', 'rate', 'subject', 'humiliation', 'joke', 'work', 'neighbor', 'think', 'strange', 'medium', 'think', 'crazy', 'extremist']"
401,344,Gender,Female,"Even if you do get a girlfriend, she'll be through 30+ chads and will see you as a disposable drop on the bucket.",1,"['even', 'get', 'girlfriend', 'chaos', 'see', 'disposal', 'drop', 'bucket']"
402,346,Gender,Female,"Romance and dating is such a lie, and its feminine Ilogical bs.",1,"['romance', 'date', 'lie', 'feminine', 'logical']"
403,346,Gender,Female,"Back in the day, w0men were married off, or you as a man go and get a w0men, go raid with your friend (In skyrim).",1,"['back', 'day', 'woman', 'marry', 'man', 'go', 'get', 'woman', 'go', 'raid', 'friend', 'syria']"
404,347,Gender,Male,"if you don't have woman, you are gay",1,"['woman', 'gay']"
405,348,Gender,Female,"women aren't just damaging a woman's long term prospects by accusations of being promiscuous, but artificially inflating the price of sex so actual sluts stand down or hide that shit so other females won't have those expectations from their future beta-husbands.",0,"['woman', 'damage', 'woman', 'long', 'term', 'prospect', 'accusation', 'promiscuous', 'artificially', 'inflation', 'price', 'sex', 'actual', 'slum', 'stand', 'hide', 'shit', 'female', 'expectation', 'future', 'betahusband']"
406,349,Race,Malay,"Wow, this sounds just like how malay treat non-malays",0,"['sound', 'malay', 'treat', 'nonmalay']"
407,350,Gender,Female,"Woman is shallow, bitter, and animalistic",1,"['woman', 'shallow', 'bitter', 'animalistic']"
408,352,Gender,Male,It's only a problem when males start pointing it out.,0,"['problem', 'male', 'start', 'point']"
409,353,Gender,Male, Men are constantly trying to one up each other but we tend to be more obvious about it.,0,"['man', 'constantly', 'try', 'tend', 'obvious']"
410,354,Gender,Female,sex is the only thing women have to offer.,1,"['sex', 'thing', 'woman', 'offer']"
411,355,Race,Indian,i will sell you to apunene if you are naughty,1,"['sell', 'naughty']"
412,356,Race,Malay,"If I had one wish, I'd wish for the Malays to be born as minorities in this country.",1,"['wish', 'wish', 'always', 'bear', 'minority', 'country']"
413,357,Race,Multiple,"Malaysia, the country that spell MALAY in it, is for Malay only",1,"['spell', 'malay', 'malay']"
414,358,Race,Malay,You are lucky that Malay has high tolerance.,0,"['lucky', 'malay', 'high', 'tolerable']"
415,360,Race,Chinese,Did they realise that chinese hate them more than malays hate babi/anjing,0,"['realise', 'hate', 'hate', 'babyaske']"
416,361,Religion,Islam,I don't really mind if there is non halal malay food.,0,"['really', 'mind']"
417,361,Religion,Islam,"As long it is cater for non Muslim and the restaurant is non halal, it is okay for me.",0,"['long', 'restaurant', 'hall']"
418,361,Religion,Islam,"They will not expect Muslims to go there and eat too, so why the fuss?",0,"['expect', 'muslim', 'go', 'eat', 'fuss']"
419,362,Religion,Islam,Vigilantism runs deep in Islam.,0,"['vigilantism', 'run', 'deep', 'slam']"
420,362,Religion,Islam,"Al-qaeda, isis, hezbullah, hamas.",0,[]
421,362,Religion,Islam,We are told to fight for islam (jihad) but the prophet put guidelines on how.,0,"['tell', 'fight', 'prophet', 'put', 'guideline']"
422,362,Religion,Islam,These people just follow their emotions and called it jihad.,0,"['people', 'follow', 'emotion', 'call']"
423,362,Religion,Islam,They will be questioned in the afterlife.,0,"['question', 'afterlife']"
424,363,Race,Indian," if you think the meleis were wrong, why the fuck you go all out to defend that indian lady who behave the same?",0,"['think', 'mile', 'wrong', 'fuck', 'go', 'defend']"
425,364,Race,Multiple,just because korang majority doesn't mean you have the right to say shit like this.,0,"['mean', 'say', 'shit']"
426,364,Race,Multiple,they are just as malaysian as you are and have a right to stay in NEGARA ASAL as you.,0,['stay']
427,366,Race,Unknown,move to other country if you don't want to follow us,1,"['move', 'country', 'want', 'follow']"
428,367,Race,Chinese,Casual malay finding out cina babi give back to the society by supporting education and sjkc schools,0,"['malay', 'find', 'give', 'society', 'support', 'education', 'sake', 'school']"
429,368,Gender,Female,Women are whores and take massive cock by western soyciety,1,"['woman', 'shore', 'take', 'massive', 'cock', 'western', 'society']"
430,369,Race,Chinese,"You are not real Chinese, you are mixed",1,[]
431,370,Gender,Female,I hope that noodle toilet kills herself with a dog dick stuck in her inflated,1,"['hope', 'noble', 'inflate']"
432,371,Race,Malay,We must start the great Race War.,1,"['start', 'great', 'face', 'war']"
433,372,Gender,Male,"If this continues to happen, more and more young men are gonna be radicalized in different movements.",0,"['continue', 'happen', 'young', 'man', 'donna', 'radicalize', 'different', 'movement']"
434,373,Race,Chinese,Why doesn't he just go back to China?,1,"['go', 'back']"
435,374,Race,Chinese,The ricecel should have banged her face in with a frying pan for being a traitor to the rice race,1,"['ricecel', 'banged', 'face', 'try', 'rice', 'race']"
436,375,Race,Multiple,Too many Chinese and Indian parents think their teens and young adults should be quiet respectful number crunchers and then when they're older wonder why they can't move up the corporate ladder or obtain leadership roles.,0,"['many', 'chinese', 'indian', 'parent', 'think', 'ten', 'young', 'adult', 'quiet', 'respectful', 'number', 'rancher', 'old', 'wonder', 'move', 'corporate', 'ladder', 'obtain', 'leadership', 'role']"
437,376,Race,Chinese,Chinese people should be exterminated in gas chambers,1,"['chinese', 'people', 'exterminate', 'gas', 'chamber']"
438,377,Religion,Islam,Muslims should be exterminated in gas chambers.,1,"['exterminate', 'gas', 'chamber']"
439,378,Race,Chinese,Japanese people are better than Chinese people.,1,"['japanese', 'people', 'well', 'chinese', 'people']"
440,378,Race,Chinese,Chinese people are liars and saidsts.,1,"['chinese', 'people', 'liar', 'saint']"
441,379,Religion,Islam,Christians are better than Muslims,1,"['christian', 'well', 'muslim']"
442,382,Religion,Christianity,Jesus get ass-raped by Romans and it's funny,1,"['get', 'assrapid', 'roman', 'funny']"
443,383,Religion,Islam,Looking for an anti-islam group.,0,"['look', 'group']"
444,383,Religion,Islam,Does they exist?,0,['exist']
445,384,Race,Malay,"This whole ""pribumi vs. pendatang"" thing was started by the Malays themselves.",0,"['whole', 'pribumi', 'pendatang', 'thing', 'start', 'always']"
446,385,Race,Malay,No orang asli would call melayu pendatang unless it's you.,0,"['call', 'delay', 'pendatang']"
447,385,Race,Malay,Org melayu and asli have lived peacefully together for centuries.,0,"['live', 'peacefully', 'together', 'century']"
448,386,Race,Malaysian,"Wud b nice 2 simply appreciate n thankful v hv a country v can call home, which large majority of Malaysians feel: Malay, Chinese, Indian, Sikh, Bengali, Punjabi, Iban, Kadazan, Bidayuh, Dusun, Org Asli, Serani, Siamese, Portuguese, n all d mixed-race Msians, etc, etc.",0,"['mud', 'b', 'nice', 'simply', 'appreciate', 'thankful', 'country', 'call', 'home', 'large', 'majority', 'malaysian', 'feel', 'indian', 'bengal', 'mixedrace', 'sign']"
449,387,Race,Malay,"Since when historicly, archeology and anthropological evidence say that Malay are pendatang?",0,"['historical', 'archeology', 'anthropological', 'evidence', 'say', 'malay', 'pendatang']"
450,388,Race,Unknown,"keep crying pendatang, your race is always been recognised as pendatang and you guys love to provoke issues about the real bumis",1,"['keep', 'cry', 'pendatang', 'race', 'always', 'recognise', 'gun', 'love', 'provoke', 'issue', 'real', 'boris']"
451,389,Race,Malay,It's very sad that the actual natives of this country are being treated like this in their homeland.,0,"['sad', 'actual', 'native', 'country', 'treat', 'holland']"
452,389,Race,Malay,Like the Native Americans when the Europeans came�.,0,"['native', 'european']"
453,389,Race,Malay,"Their land, culture, livelihood� all gone.",0,"['land', 'culture', 'go']"
454,390,Race,Multiple,Ask any orang asli.. they see all of us as pendatang disturbing their routine.. in all way.. ?,0,"['see', 'pendatang', 'disturb', 'routine', 'way']"
455,390,Race,Multiple,?..,0,[]
456,391,Religion,Islam,"How come we're able to police people who want to eat during the day in Ramadan, but we're not able to police people smoking at eateries?",0,"['come', 'able', 'police', 'people', 'want', 'eat', 'unable', 'police', 'people', 'smoking', 'artery']"
457,392,Religion,Islam,"They're your people (carrying out God's commandments), you tell us why.",0,"['people', 'carry', 'commandment', 'tell']"
458,393,Race,Indian,"You can build world class infra,  but you can't eliminate third class mentality",0,"['build', 'world', 'class', 'infra', 'eliminate', 'third', 'class', 'mentality']"
459,394,Race,Indian,Strict Social Credit System should be applied in India.,0,"['strict', 'social', 'credit', 'system', 'apply']"
460,394,Race,Indian,Look  bad social credit score can make one's life a hell in China.,0,"['take', 'bad', 'social', 'credit', 'score', 'make', 'life', 'hell']"
461,394,Race,Indian,We need this system ASAP.,0,"['need', 'system', 'asap']"
462,394,Race,Indian,At least for 2 generations.,0,"['least', 'generation']"
463,395,Race,Indian,I'm sick of seeing all these filthy #Indians  spamming the comment sections under posts,0,"['sick', 'see', 'filthy', 'slamming', 'comment', 'section', 'post']"
464,396,Gender,Female,These whores always want BBC,1,"['shore', 'always', 'want']"
465,397,Gender,Female,"I had to endure watching those whores brag on about how they lost their virginity at 14-15 or younger, whilst I was rotting on Vidya, YouTube, fapping, and desperately researching ways online to improve my social skills, clothing styles, etc.",0,"['endure', 'watch', 'shore', 'brag', 'lose', 'younger', 'trot', 'idea', 'youtube', 'tap', 'desperately', 'search', 'way', 'online', 'improve', 'social', 'skill', 'clothing', 'style', 'etc']"
466,398,Race,Indian,def raped by an indian,1,['indian']
467,400,Religion,Islam,Mohammed burning in hell fire !,1,"['burn', 'hell', 'fire']"
468,400,Religion,Islam,!,1,[]
469,401,Religion,Christianity,Those Christians are kuffar,0,"['christian', 'suffer']"
470,402,Religion,Islam,i want to ask muslims that why has islam failed to teach them morality?,0,"['want', 'ask', 'fail', 'teach', 'morality']"
471,403,Religion,Islam,Muslims are the single most reason for most of the miseries in the world.,1,"['single', 'reason', 'series', 'world']"
472,405,Religion,Islam,Teachings of a Pedophile Prophet maybe.,1,"['teaching', 'prophet', 'maybe']"
473,406,Gender,Female,You never had a chance man unless you're 6'4 women treat you like you're invisible.,0,"['never', 'chance', 'man', 'woman', 'treat', 'invisible']"
474,409,Gender,Female,"Men can reproduce easily and painlessly just by planting their seed in the female, whereas the female has to carry the child in hER womb for 9 months followed by painful childbirth, so the �cost of reproduction� is much highER for women, hence they have much highER standards when it comes to mate selection based on their biological programming (hence when it comes to mate selection based on genetic quality",0,"['man', 'reproduce', 'easily', 'painlessly', 'plant', 'seed', 'female', 'female', 'carry', 'child', 'womb', 'month', 'follow', 'painful', 'childbirth', 'much', 'high', 'woman', 'hence', 'much', 'high', 'standard', 'come', 'mate', 'selection', 'base', 'biological', 'programming', 'hence', 'come', 'mate', 'selection', 'base', 'genetic', 'quality']"
475,410,Gender,Female,ThERe is also plenty of historic evidence of womens' treachorous nature and their �lack of loyalty�,0,"['also', 'plenty', 'historic', 'evidence', 'woman', 'treacherous', 'nature']"
476,411,Gender,Female,"Assume she has a boyfriend or has casual sex with people a lot more attractive than you, that's nearly always the case unless they're too picky for their own looks.",0,"['assume', 'boyfriend', 'casual', 'sex', 'people', 'lot', 'attractive', 'nearly', 'always', 'case', 'pick', 'look']"
477,412,Religion,Islam,"Its called ""honor killing"", its done by a brother (like in this case) or other male relative like uncle or cousin",0,"['call', 'honor', 'kill', 'do', 'brother', 'case', 'male', 'relative']"
478,413,Religion,Islam,"Muslims love goats so much, they end up marrying them",1,"['love', 'goat', 'much', 'end', 'marry']"
479,415,Religion,Islam,"These muslim woman looks like trashbags, no wonder they are disposable carbage",1,"['woman', 'look', 'trashbag', 'wonder', 'disposal', 'cabbage']"
480,416,Religion,Islam,Islam is a religion of peace,0,"['slam', 'religion', 'peace']"
481,417,Religion,Islam,"Before you start whining about Islam or some other silly thing, even they don't hate women.",0,"['start', 'whine', 'slam', 'silly', 'thing', 'even', 'hate', 'woman']"
482,417,Religion,Islam,"You'd have to listen to those men to find that out, which is clearly not on the menu.",0,"['listen', 'man', 'find', 'clearly', 'menu']"
483,418,Race,Indian,you're not superior to other races just because you're indian,0,[]
484,419,Gender,Female,There was a fight between some white girls.,0,"['fight', 'white', 'girl']"
485,420,Race,Indian,Definitely indians.,1,"['definitely', 'indian']"
486,420,Race,Indian,"They do this shit all the time, and then sell the stuff they stole to pawn shops.",1,"['shit', 'time', 'sell', 'stuff', 'stole', 'pawn', 'shop']"
487,423,Gender,Female,Females have no shame.,1,['honor']
488,423,Gender,Female,They should feel embarrassed and ASHAMED to talk to fit men.,1,"['feel', 'embarrassed', 'ashamed', 'talk', 'fit', 'man']"
489,426,Race,Malay,The vast majority of women who work here are Malay women,0,"['vast', 'majority', 'woman', 'work', 'malay', 'woman']"
490,427,Gender,Male,Those 1000 tinder matches don't mean much because most men swipe right on everyone AND a Tinder right swipe does not mean a long term relationship.,0,"['tinder', 'match', 'mean', 'much', 'man', 'wipe', 'right', 'hinder', 'right', 'wipe', 'mean', 'long', 'term', 'relationship']"
491,428,Race,Malay,May 13 happens because Meleis heard rumours that someone who won the election kill  meleis.,0,"['happen', 'hear', 'rumour', 'election', 'kill', 'mile']"
492,428,Race,Malay,Rumours bro rumours.,0,"['tumour', 'brow', 'rumour']"
493,429,Race,Multiple,"The winning party, which originally is the opposition, won and was celebrating on the street.",0,"['win', 'party', 'originally', 'opposition', 'celebrate', 'street']"
494,429,Race,Multiple,Winning party consist of multiracial groups of ppl.,0,"['win', 'party', 'consist', 'multiracial', 'group', 'pp']"
495,430,Religion,Multiple,Then havoc happen due to the rumours.,0,"['havoc', 'happen', 'due', 'rumour']"
496,430,Religion,Multiple,People start to go hysteria about it and start killing ppl everywhere they go as long as they are not Muslim or meleis.,0,"['people', 'start', 'go', 'start', 'kill', 'everywhere', 'go', 'long', 'gain', 'mile']"
497,432,Religion,Islam," He drinks and gamble with his Chinese friend, which is not align with muse slim teaching.",0,"['drink', 'gamble', 'chinese', 'friend', 'skew', 'slim', 'teaching']"
498,433,Religion,Multiple,"The issue of religion idiocy, racism and  extremist, all being manipulate by ppl.",0,"['issue', 'religion', 'idiocy', 'racism', 'extremist', 'manipulate', 'pp']"
499,434,Race,Malay,"why those malays who are aware of the issues in Malaysia decide to send their kids to Chinese schools, international school and private schools",0,"['aware', 'issue', 'decide', 'kiss', 'chinese', 'school', 'international', 'school', 'private', 'school']"
500,436,Race,Malay,Typical malays... Driving dangerously,1,"['typical', 'malay', 'drive', 'dangerously']"
501,437,Race,Unknown,Don't play racial card here.,0,"['play', 'racial', 'card']"
502,438,Gender,Female,Dont underestimate foid ability to appear as pure and innocent.,1,"['underestimate', 'food', 'ability', 'appear', 'pure', 'innocent']"
503,438,Gender,Female,They evolved for millions of years to dupe and manipulate men.,1,"['evolve', 'year', 'dupe', 'manipulate', 'man']"
504,439,Race,Chinese,"Not only Malays do that, Chinese also do the same",0,"['always', 'also']"
505,441,Race,Malay,Why arson case not arrested?,1,"['arson', 'case', 'arrest']"
506,441,Race,Malay,Because chimpanzee malays are behind it?,1,['behind']
507,442,Race,Chinese,Anwar is weak.,1,"['war', 'weak']"
508,442,Race,Chinese,He has allowed Chinese to control the country and destroy our lives,1,"['allow', 'chinese', 'control', 'country', 'destroy', 'life']"
509,443,Race,Malay,"Its special privileged race arson nothing to see here , special race has been spoilt since independence and no PM in history had any guts to change that",0,"['special', 'privileged', 'race', 'arson', 'see', 'special', 'race', 'spoil', 'independence', 'history', 'gun', 'change']"
510,445,Religion,Buddhism,iam just tired of listening to buddhism preaching,0,"['tired', 'listen', 'buddhist', 'preaching']"
511,446,Religion,Christianity,This priest is only talk no action,0,"['talk', 'action']"
512,447,Race,Chinese,The supermarket owner is a typical kapitalis babi,1,"['supermarket', 'owner', 'typical', 'capital', 'baby']"
513,450,Race,Malay,melei men don't have the brain capacity to feel sympathy or empathy toward anyone.,1,"['man', 'brain', 'capacity', 'feel', 'sympathy', 'empty']"
514,450,Race,Malay,"that's why they're ugly, kepam, and uncouth lol",1,"['ugly', 'keep', 'uncouth']"
515,452,Race,Chinese,"Always chinese, selfish",1,"['always', 'chinese', 'selfish']"
516,454,Religion,Islam,One of those things many can never comprehend.,0,"['thing', 'many', 'never', 'comprehend']"
517,454,Religion,Islam,Merokok adalah haram.,0,[]
518,454,Religion,Islam,National Fatwa Council decision years ago.,0,"['decision', 'year', 'ago']"
519,454,Religion,Islam,"Yet, many Muslims blatantly smoke.",0,"['meet', 'many', 'muslim', 'blatantly', 'smoke']"
520,455,Race,Malay,Typical malay muslim extrimists...,0,"['typical', 'malay', 'muslin', 'extremist']"
521,456,Race,Indian,"I told you, the robber is an Indian.",1,['tell']
522,456,Race,Indian,They always rob others.,1,"['always', 'rob', 'other']"
523,457,Race,Indian,"Don't get into my house, you flithy cow",1,"['get', 'house', 'filthy', 'cow']"
524,458,Religion,Islam,Every one of them is a ticking bomb.,1,"['tick', 'bomb']"
525,459,Religion,Islam,This is not the teaching of Islam,0,"['teaching', 'slam']"
526,462,Gender,Female,All females r hoes,1,['hoe']
527,464,Gender,Female,fuck girls and rape in front of him,1,"['fuck', 'girl', 'rape', 'front']"
528,465,Race,Chinese,kill the chinese.,1,"['kill', 'chinese']"
529,465,Race,Chinese,burn their house.,1,"['burn', 'house']"
530,465,Race,Chinese,that is not your family.,1,['family']
531,467,Race,Indian,Don't rent your room to Indians.,1,"['rent', 'room', 'indian']"
532,467,Race,Indian,They will trash it.,1,['trash']
533,468,Race,Indian,Shooting up places seems to be indian shit,1,"['shooting', 'place', 'seem', 'indian', 'shit']"
534,469,Religion,Multiple,All agama teach to love not destroy,0,"['teach', 'love', 'destroy']"
535,470,Religion,Islam,"Sorry, non-muslims.",0,[]
536,470,Religion,Islam,Islam doesn't teach people to do such awful actions.,0,"['teach', 'people', 'awful', 'action']"
537,472,Gender,Male,Stay strong men,0,"['stay', 'strong', 'man']"
538,473,Gender,Female,All women matters,0,"['woman', 'matter']"
539,474,Race,Multiple," I love the China's one child policy and hate Arabs,Blacks, Indians, and Latinos, I hate that they have too many kids",1,"['love', 'child', 'policy', 'hate', 'grab', 'lack', 'nation', 'hate', 'many', 'kiss']"
540,475,Race,Indian,Beat the fuck out of these indians that's gross as fuck,1,"['fuck', 'gross', 'fuck']"
541,477,Gender,Female,Let's give our full support to women.,0,"['meet', 'give', 'full', 'support', 'woman']"
542,478,Race,Unknown,"Remember who owns this land, if you don't have manners we will deport you out!",1,"['remember', 'own', 'land', 'manner', 'report']"
543,479,Religion,Multiple,I don't like what's becoming of these extremists.,0,"['become', 'extremist']"
544,479,Religion,Multiple,But I really have noticed how many of these ppl from other religions are acting in Facebook and even Twitter,0,"['really', 'notice', 'many', 'pp', 'religion', 'act', 'facebook', 'even', 'twitter']"
545,480,Gender,Female,Woman will always cheat on men with some thugs.,1,"['woman', 'always', 'cheat', 'man', 'thus']"
546,480,Gender,Female,They deserved to get beat to death.,1,"['deserved', 'beat', 'death']"
547,481,Gender,Female,hopefully he breaks her neck and kills her soon,1,"['hopefully', 'break', 'neck', 'kill', 'soon']"
548,482,Gender,Female,Next time barge in and destroy her pussy,1,"['next', 'time', 'barge', 'destroy']"
549,483,Race,Multiple,"Imagine if interracial dating and marriage was banned, no group of men will be deprived of women because they are sticking to their own kind.",1,"['imagine', 'interracial', 'date', 'marriage', 'banner', 'group', 'man', 'deprive', 'woman', 'stick', 'kind']"
550,484,Gender,Female,"Why do women who who have been raped refer to themselves as ""survivors""?",1,"['woman', 'rapid', 'refer', 'survivor']"
551,484,Gender,Female,Their life wasnt threatened at any point unless the rapist held a gun to their head.,1,"['life', 'want', 'threaten', 'point', 'rapid', 'hold', 'gun', 'head']"
552,484,Gender,Female,This is highly unprobable though because it is normally a chad and she enjoys it or a normie who is related to them.,1,"['highly', 'probable', 'though', 'normally', 'enjoy', 'normal', 'related']"
553,485,Gender,Female,Fucking these cunt had a unwanted dick inside their rotted pussy for 5 minute and now they are acting like only one left from mass shooting survived wtf,1,"['tuck', 'count', 'unwanted', 'dick', 'rot', 'hussy', 'minute', 'act', 'leave', 'mass', 'shooting', 'survive', 'utf']"
554,486,Gender,Female,Woman love to play the victim in order to recieve attention or to excuse their shitty behavior.,1,"['woman', 'love', 'play', 'victim', 'order', 'receive', 'attention', 'excuse', 'behavior']"
555,486,Gender,Female,You should not hire them in any occasions.,1,"['fire', 'occasion']"
556,487,Gender,Female,the women that lie about being raped should go to jail for a very long time.,0,"['woman', 'lie', 'rapid', 'go', 'jail', 'long', 'time']"
557,488,Gender,Female,women are not equal and she even lose her value once shes raped thats why she gotta stay with her rapist which is perfect,1,"['woman', 'equal', 'even', 'lose', 'value', 'rapid', 'gutta', 'stay', 'rapid', 'perfect']"
558,489,Religion,Christianity,Fake christian who didn't read the bible should not give his opinions on God here.,0,"['take', 'read', 'give', 'opinion']"
559,490,Religion,Christianity,I want to crush these jesus statues,1,"['want', 'crush', 'statue']"
560,492,Gender,Female,It is a woman's fault for getting sexually harrassed.,1,"['woman', 'fault', 'sexually', 'harass']"
561,493,Gender,Male,All men are rapists.,1,"['man', 'resist']"
562,494,Race,Indian,"Indians are inferior, uncontrollable and ruthless in their DNA.",1,"['inferior', 'uncontrollable', 'ruthless', 'dna']"
563,494,Race,Indian,That's why you should never go to India alone.,1,"['never', 'go', 'india', 'alone']"
564,496,Religion,Islam,I want Israel to bomb the shit out of Gaza,1,"['want', 'papa']"
565,498,Race,Malay,"Boycott on malay product doesn't ever work.,bcs ever since they never try to buy.",0,"['boycott', 'malay', 'product', 'ever', 'work', 'bus', 'ever', 'never', 'try', 'buy']"
566,498,Race,Malay,Except smtg they can't live without like sambal.,0,"['live', 'samuel']"
567,500,Race,Chinese,you are a poor trash leech,1,"['poor', 'trash', 'leech']"
