No,Category,SubCategory1,Post,HateSpeech
293,None,None,"You only show that you are narcissistic and vain, following one religion or another does not make you a better person. ",0
294,Religion,Islam,"from the point of view of Islam, the one who commits kufr is the worst person on this earth",0
295,None,None,"You are dehumanizing people for their faith, you wish them disgrace and hell backed up with hateful texts. ",0
296,Religion,Islam,"You are living proof that being muslim does not make you a better person, based on your beliefs.",0
297,Religion,Buddhism,All Buddhists are evil people. Their beliefs are garbage.,1
298,Religion,Islam,Then why dont muslim men take this advice and better themselves? They should treat their women like human atleast ? ,1
299,Religion,Islam,"Slandering, s3xualizing, name calling, honor k*lling are done by muslim men .",1
300,Race,Indian,I'm sorry to hear that. It's very unfortunate. I hope your people find a solution.,0
301,Gender,Female,Im not afraid to date a single mum,0
302,Gender,Male,"The hatred for single mums continues... You know, some of us stayed single till our kids were older, despite options, for many years to, you know, put our kids first... It's certainly true of me, and the single mums I know, that we have higher standards for male behaviour than other women.",0
303,None,None,some people think so highly of their own standards they don't appreciate others not following the same and do the one thing they're trained to: lash out at the unknown,0
304,Gender,Female,cool you should have had those higher standards for the man you gave a child to,0
305,Gender,Female,you should've stayed with your babydaddy,0
306,Gender,Male,"And the hatred for men continues, too.",0
307,None,None,You're not the only 'victim' here.,0
308,Gender,Female,WOMEN ARE TOO INTIMIDATED TO ASK ME OUT,0
309,None,None,"Insults and mockery are not violence. Poor conflict resolution skills are a precursor to violence, that doesn’t make poor conflict resolution skills violence. Alcohol consumption is a precursor to violence, alcohol consumption is not violence.",0
310,None,None,"My point is that insults and mockery are a form of violence, not physical, less aggressive, but violent anyway.",0
311,Gender,Male,Way to show compassion and empathy for your fellow man......well done...just what the world needs more of.,0
312,Gender,Female,Women like me can't be shamed. ,0
313,None,None,She do charity for local community,0
314,Race,Indian,"once you go black, you never go back",1
315,Gender,Female,There is NOTHING feminine about American women. American women are literally men.,1
316,Gender,Female,Jealous lol most guys would rather have a girl like this then some girly whimpy princess,0
317,Gender,Female,High-value American men should become passport bros. Don’t they deserve better than the filth they are limited to in their own country…?,1
318,Gender,Female,LIBERATE AMERICA FROM TOMBOY OCCUPATION,0
319,Gender,Male,Are you homosexual?,0
320,Gender,Male,"I need a real man, not a sissy.",1
321,Gender,Male,You are such a cuckold,1
322,None,None,You look like plastic,0
323,Gender,Female,Most women look like they are from freak show.,1
324,None,None,I want milk,0
325,Gender,Female,She’s not allowed to help her family with a building project because she’s a woman?,0
326,Gender,Female,Women can’t be honest so they make excuses because they don’t want to be rude.,0
327,Gender,Female,Her frame is malleable... Frame her a horny woman who is trying to suck your cock. And she will.,0
328,Gender,Female,The masculine urge to never let a woman into your life again or get to know you again. All women do is suck the life and love out of you and leave you with nothing but pain and sadness. They don't care about the damage they perform.,1
329,Gender,Male,The masculine urge to never let a man into your life again or get to know you again. All men do is suck the life and love out of you and leave you with nothing but pain and sadness. They don't care about the damage they perform.,1
330,Gender,Female,There’s a difference between a woman and a succubus,0
331,Gender,Male,Looks don't matter for men.,0
332,Gender,Female, Many experiments have shown that even artificially generated women created to be as repulsive looking as possible can get dates from men in online dating.,0
333,Gender,Female,we shouId not put women our main focus,0
334,None,None,my semester ends in a week. next semester i'm gonna try clubs with a lot of verbal communication,0
335,Gender,Female, stopped viewing women as conquests and talked to them as people- and more often than not they actively engage in conversation;,0
336,None,None,"You should learn black magick, and send death curses to your enemies.",0
337,None,None,"foids don't want a ugly man like me, but also they don't want a old ugly man like me as well.",0
338,None,None,"I'm 23 here, same boat",0
339,Gender,Female,elicious bootylicious tittylicious bodylicious bitches dress up like hoes during the summer time,1
340,Gender,Female,I’ve always found bitches very delicious. I just want to rape them and cook them up and eat them up.,1
341,Gender,Female,I urge to just grab a bitches nice sumptuous delicious jiggly thighs and jiggly tits when they dress like hoes.,1
342,Gender,Female,I should just not give a fuck about this feminazi concentration camp of a world and not care what the bullshit propaganda media says ,0
343,Gender,Male,"society hate us, our family hates us, we are the subject of humiliation, jokes at work, our neighbors think we are strange, the media thinks we are all crazy extremists",0
344,Gender,Female,"Even if you do get a girlfriend, she’ll be through 30+ chads and will see you as a disposable drop on the bucket.",1
345,None,None,Why even get married or in a relationship and open yourself. It’s just not worth it. That’s why we’re the way we are. ,0
346,Gender,Female,"Romance and dating is such a lie, and its feminine Ilogical bs. Back in the day, w0men were married off, or you as a man go and get a w0men, go raid with your friend (In skyrim).",1
347,Gender,Male,"if you don't have woman, you are gay",1
348,Gender,Female,"women aren’t just damaging a woman’s long term prospects by accusations of being promiscuous, but artificially inflating the price of sex so actual sluts stand down or hide that shit so other females won’t have those expectations from their future beta-husbands. ",0
349,Race,Malay,"Wow, this sounds just like how malay treat non-malays",0
350,Gender,Female,"Woman is shallow, bitter, and animalistic",1
351,None,None,It’s easier to make other fail rather than make yourself better.,0
352,Gender,Male,It’s only a problem when males start pointing it out.,0
353,Gender,Male, Men are constantly trying to one up each other but we tend to be more obvious about it.,0
354,Gender,Female,sex is the only thing women have to offer.,1
355,Race,Indian,i will sell you to apunene if you are naughty,1
356,Race,Malay,"If I had one wish, I’d wish for the Malays to be born as minorities in this country. ",1
357,Race,Multiple,"Malaysia, the country that spell MALAY in it, is for Malay only",1
358,Race,Malay,You are lucky that Malay has high tolerance.,0
359,None,None,"I think everyone hs like a rasict and tolerance scale, some more some less, and i feel it can change over time depending on the circumstances…",0
360,Race,Chinese,Did they realise that chinese hate them more than malays hate babi/anjing,0
361,Religion,Islam,"I don't really mind if there is non halal malay food. As long it is cater for non Muslim and the restaurant is non halal, it is okay for me. They will not expect Muslims to go there and eat too, so why the fuss?",0
362,Religion,Islam,"Vigilantism runs deep in Islam. Al-qaeda, isis, hezbullah, hamas. We are told to fight for islam (jihad) but the prophet put guidelines on how. These people just follow their emotions and called it jihad. They will be questioned in the afterlife.",0
363,Race,Indian," if you think the meleis were wrong, why the fuck you go all out to defend that indian lady who behave the same?",0
364,Race,Multiple,just because korang majority doesn't mean you have the right to say shit like this. they are just as malaysian as you are and have a right to stay in NEGARA ASAL as you. ,0
365,None,None,people like you are the reason why malaysia cannot be developed,0
366,Race,Unknown,move to other country if you don't want to follow us,1
367,Race,Chinese,Casual malay finding out cina babi give back to the society by supporting education and sjkc schools,0
368,Gender,Female,Women are whores and take massive cock by western soyciety,1
369,Race,Chinese,"You are not real Chinese, you are mixed",1
370,Gender,Female,I hope that noodle toilet kills herself with a dog dick stuck in her inflated,1
371,Race,Malay,We must start the great Race War.,1
372,Gender,Male,"If this continues to happen, more and more young men are gonna be radicalized in different movements.",0
373,Race,Chinese,Why doesn't he just go back to China? ,1
374,Race,Chinese,The ricecel should have banged her face in with a frying pan for being a traitor to the rice race,1
375,Race,Multiple,Too many Chinese and Indian parents think their teens and young adults should be quiet respectful number crunchers and then when they're older wonder why they can't move up the corporate ladder or obtain leadership roles.,0
376,Race,Chinese,Chinese people should be exterminated in gas chambers,1
377,Religion,Islam,Muslims should be exterminated in gas chambers.,1
378,Race,Chinese,Japanese people are better than Chinese people. Chinese people are liars and saidsts.,1
379,Religion,Islam,Christians are better than Muslims,1
380,None,None,"i look at myself in the mirror and i look horrid, my face fatter and uglier then before my body is also in bad shape,",0
381,None,None,I should have never been born.,0
382,Religion,Christianity,Jesus get ass-raped by Romans and it's funny,1
383,Religion,Islam,Looking for an anti-islam group. Does they exist?,0
384,Race,Malay,"This whole ""pribumi vs. pendatang"" thing was started by the Malays themselves.",0
385,Race,Malay,No orang asli would call melayu pendatang unless it's you. Org melayu and asli have lived peacefully together for centuries. ,0
386,Race,Malaysian,"Wud b nice 2 simply appreciate n thankful v hv a country v can call home, which large majority of Malaysians feel: Malay, Chinese, Indian, Sikh, Bengali, Punjabi, Iban, Kadazan, Bidayuh, Dusun, Org Asli, Serani, Siamese, Portuguese, n all d mixed-race Msians, etc, etc.",0
387,Race,Malay,"Since when historicly, archeology and anthropological evidence say that Malay are pendatang?",0
388,Race,Unknown,"keep crying pendatang, your race is always been recognised as pendatang and you guys love to provoke issues about the real bumis",1
389,Race,Malay,"It’s very sad that the actual natives of this country are being treated like this in their homeland. Like the Native Americans when the Europeans came…. Their land, culture, livelihood… all gone.",0
390,Race,Multiple,Ask any orang asli.. they see all of us as pendatang disturbing their routine.. in all way.. ??..,0
391,Religion,Islam,"How come we're able to police people who want to eat during the day in Ramadan, but we're not able to police people smoking at eateries?",0
392,Religion,Islam,"They’re your people (carrying out God’s commandments), you tell us why.",0
393,Race,Indian,"You can build world class infra,  but you can't eliminate third class mentality",0
394,Race,Indian,Strict Social Credit System should be applied in India. Look  bad social credit score can make one's life a hell in China. We need this system ASAP. At least for 2 generations.,0
395,Race,Indian,I’m sick of seeing all these filthy #Indians  spamming the comment sections under posts,0
396,Gender,Female,These whores always want BBC,1
397,Gender,Female,"I had to endure watching those whores brag on about how they lost their virginity at 14-15 or younger, whilst I was rotting on Vidya, YouTube, fapping, and desperately researching ways online to improve my social skills, clothing styles, etc.",0
398,Race,Indian,def raped by an indian,1
399,None,None,She's the humiliated one because now you can watch her wageslaving for minimum salary and she's forced to treat you like you're better because you're a customer,0
400,Religion,Islam,Mohammed burning in hell fire !!,1
401,Religion,Christianity,Those Christians are kuffar,0
402,Religion,Islam,i want to ask muslims that why has islam failed to teach them morality?,0
403,Religion,Islam,Muslims are the single most reason for most of the miseries in the world.,1
404,None,None,Always go to the self checkout,0
405,Religion,Islam,Teachings of a Pedophile Prophet maybe.,1
406,Gender,Female,You never had a chance man unless you're 6'4 women treat you like you're invisible.,0
407,None,None,I would enjoy it,0
408,None,None,I would be scared because I have PTSD of closeness. Everytime someone got close was to beat me up,0
409,Gender,Female,"Men can reproduce easily and painlessly just by planting their seed in the female, whereas the female has to carry the child in hER womb for 9 months followed by painful childbirth, so the “cost of reproduction” is much highER for women, hence they have much highER standards when it comes to mate selection based on their biological programming (hence when it comes to mate selection based on genetic quality",0
410,Gender,Female,ThERe is also plenty of historic evidence of womens’ treachorous nature and their “lack of loyalty” ,0
411,Gender,Female,"Assume she has a boyfriend or has casual sex with people a lot more attractive than you, that's nearly always the case unless they're too picky for their own looks.",0
412,Religion,Islam,"Its called ""honor killing"", its done by a brother (like in this case) or other male relative like uncle or cousin",0
413,Religion,Islam,"Muslims love goats so much, they end up marrying them",1
414,None,None,"They were smiling with visible teeth, probably laughing at my unprepared answers. I knew I'm gonna fail this one, and they were one sided too.",0
415,Religion,Islam,"These muslim woman looks like trashbags, no wonder they are disposable carbage",1
416,Religion,Islam,Islam is a religion of peace,0
417,Religion,Islam,"Before you start whining about Islam or some other silly thing, even they don't hate women. You'd have to listen to those men to find that out, which is clearly not on the menu. ",0
418,Race,Indian,you're not superior to other races just because you're indian,0
419,Gender,Female,There was a fight between some white girls.,0
420,Race,Indian,"Definitely indians. They do this shit all the time, and then sell the stuff they stole to pawn shops.",1
421,None,None," These 2 fat, ugly, slobs were eating like there was no tomorrow.",0
422,None,None,"What I don't get is how fat, disgusting, pigs are not ashamed of themselves. I would feel HUMALATED to walk around as an ugly, obese ""person.""",0
423,Gender,Female,Females have no shame. They should feel embarrassed and ASHAMED to talk to fit men.,1
424,None,None,These fat pigs see me as a potential partner. I always reject fat pigs.,0
425,None,None,Fatasses are entitled as fuck. They think they deserve everything when they can't even put the damn fork down for a minute. ,0
426,Race,Malay,The vast majority of women who work here are Malay women,0
427,Gender,Male,Those 1000 tinder matches don't mean much because most men swipe right on everyone AND a Tinder right swipe does not mean a long term relationship.,0
428,Race,Malay,May 13 happens because Meleis heard rumours that someone who won the election kill  meleis. Rumours bro rumours. ,0
429,Race,Multiple,"The winning party, which originally is the opposition, won and was celebrating on the street. Winning party consist of multiracial groups of ppl.",0
430,Religion,Multiple,Then havoc happen due to the rumours.  People start to go hysteria about it and start killing ppl everywhere they go as long as they are not Muslim or meleis.,0
431,None,None,He decided to overtake the power to become leader of the club.,0
432,Religion,Islam," He drinks and gamble with his Chinese friend, which is not align with muse slim teaching. ",0
433,Religion,Multiple,"The issue of religion idiocy, racism and  extremist, all being manipulate by ppl. ",0
434,Race,Malay,"why those malays who are aware of the issues in Malaysia decide to send their kids to Chinese schools, international school and private schools",0
435,None,None,Many don't understand the power of money.,0
436,Race,Malay,Typical malays... Driving dangerously,1
437,Race,Unknown,Don't play racial card here.,0
438,Gender,Female,Dont underestimate foid ability to appear as pure and innocent. They evolved for millions of years to dupe and manipulate men.,1
439,Race,Chinese,"Not only Malays do that, Chinese also do the same",0
440,None,None,"There are sooooo many thing MBSA can do to improve things in Shah Alam, but they only focus on catching dogs. Babi.",0
441,Race,Malay,Why arson case not arrested? Because chimpanzee malays are behind it? ,1
442,Race,Chinese,Anwar is weak. He has allowed Chinese to control the country and destroy our lives,1
443,Race,Malay,"Its special privileged race arson nothing to see here , special race has been spoilt since independence and no PM in history had any guts to change that",0
444,None,None,What a disgusting circus we have,0
445,Religion,Buddhism,iam just tired of listening to buddhism preaching,0
446,Religion,Christianity,This priest is only talk no action,0
447,Race,Chinese,The supermarket owner is a typical kapitalis babi,1
448,None,None,A truly heartwarming story,0
449,None,None,What an amazing story,0
450,Race,Malay,"melei men don’t have the brain capacity to feel sympathy or empathy toward anyone. that’s why they’re ugly, kepam, and uncouth lol",1
451,None,None,"Smoking is prohibited in eating areas and yet no one cares.. When others speak up because a 4y old is in the vicinity, they get threatened..",0
452,Race,Chinese,"Always chinese, selfish",1
453,None,None,i know that. At least my parents are not charging me rent,0
454,Religion,Islam,"One of those things many can never comprehend. Merokok adalah haram. National Fatwa Council decision years ago. Yet, many Muslims blatantly smoke.",0
455,Race,Malay,Typical malay muslim extrimists...,0
456,Race,Indian,"I told you, the robber is an Indian. They always rob others.",1
457,Race,Indian,"Don't get into my house, you flithy cow",1
458,Religion,Islam,Every one of them is a ticking bomb.,1
459,Religion,Islam,This is not the teaching of Islam,0
460,None,None,She looked and seemed like a normal art hoe.,0
461,None,None,"You won't receive a reply, because she won't see your message. ",0
462,Gender,Female,All females r hoes,1
463,None,None,"It was hard for me too, but practice lowered my inhibition.",0
464,Gender,Female,fuck girls and rape in front of him,1
465,Race,Chinese,kill the chinese. burn their house. that is not your family. ,1
466,None,None,I genuinely am scared of him,0
467,Race,Indian,Don't rent your room to Indians. They will trash it.,1
468,Race,Indian,Shooting up places seems to be indian shit,1
469,Religion,Multiple,All agama teach to love not destroy,0
470,Religion,Islam,"Sorry, non-muslims. Islam doesn't teach people to do such awful actions.",0
471,None,None,Should have barged in there beat him in a pulp then ascend with the girl,0
472,Gender,Male,Stay strong men,0
473,Gender,Female,All women matters,0
474,Race,Multiple," I love the China's one child policy and hate Arabs,Blacks, Indians, and Latinos, I hate that they have too many kids",1
475,Race,Indian,Beat the fuck out of these indians that's gross as fuck,1
476,None,None,Hate is a very dangerous thing to promote,0
477,Gender,Female,Let's give our full support to women.,0
478,Race,Unknown,"Remember who owns this land, if you don't have manners we will deport you out!",1
479,Religion,Multiple,I don't like what's becoming of these extremists. But I really have noticed how many of these ppl from other religions are acting in Facebook and even Twitter,0
480,Gender,Female,Woman will always cheat on men with some thugs. They deserved to get beat to death.,1
481,Gender,Female,hopefully he breaks her neck and kills her soon,1
482,Gender,Female,Next time barge in and destroy her pussy,1
483,Race,Multiple,"Imagine if interracial dating and marriage was banned, no group of men will be deprived of women because they are sticking to their own kind.",1
484,Gender,Female,"Why do women who who have been raped refer to themselves as ""survivors""? Their life wasnt threatened at any point unless the rapist held a gun to their head. This is highly unprobable though because it is normally a chad and she enjoys it or a normie who is related to them.",1
485,Gender,Female,Fucking these cunt had a unwanted dick inside their rotted pussy for 5 minute and now they are acting like only one left from mass shooting survived wtf,1
486,Gender,Female,Woman love to play the victim in order to recieve attention or to excuse their shitty behavior. You should not hire them in any occasions.,1
487,Gender,Female,the women that lie about being raped should go to jail for a very long time.,0
488,Gender,Female,women are not equal and she even lose her value once shes raped thats why she gotta stay with her rapist which is perfect,1
489,Religion,Christianity,Fake christian who didn't read the bible should not give his opinions on God here.,0
490,Religion,Christianity,I want to crush these jesus statues,1
491,None,None,you should be banned for thinking criminal acts should not be punished.,0
492,Gender,Female,It is a woman's fault for getting sexually harrassed. ,1
493,Gender,Male,All men are rapists.,1
494,Race,Indian,"Indians are inferior, uncontrollable and ruthless in their DNA. That's why you should never go to India alone.",1
495,None,None,"Like psychologically, what sort of thought process does that man possess to carry out such a thing?",0
496,Religion,Islam,I want Israel to bomb the shit out of Gaza,1
497,None,None,You instigated the hate bro. You think you are a hero for that?,0
498,Race,Malay,"Boycott on malay product doesn't ever work.,bcs ever since they never try to buy. Except smtg they can't live without like sambal.",0
499,None,None,Only stupid people will go support stupid people's clinic,0
500,Race,Chinese,you are a poor trash leech,1
501,Gender,Female,Woman are too low IQ to subvert anything or convince men,1
502,Religion,Islam,Have a big heart. Nabi never teach people to hate.,0
503,Gender,Female,Death to all used up whores.,1
504,Religion,Christianity,Christians have no god. I am their god.,1
505,Gender,Female,Why do foids bother with this place when they can be just cumdumpters,1
506,Religion,Islam,Arrest Siti Kassim. She's a traitor.,1
507,Gender,Female,Hope she gets graped and shat on,1
508,Race,Malay,You are too afraid to boycott China? of course you won't.. you are a pig,1
509,Gender,Female,The girl is a victim of sexual assault.,0
510,None,None,"That's not true, but you can have your own opinion",0
511,Race,Chinese,Why you are defending Chinese? You are probably one of them,1
512,Gender,Female,dirty fucking whore ,1
513,Race,Multiple, chinks and pajeets can enjoy malay girls while meleis can cry about it,1
514,Race,Chinese,shut the fuck up you chink,1
515,None,None,In the old days when spies were physically caught they would have been executed,0
516,Gender,Female,you're a feminist,0
517,Race,Chinese,There are Chinese who are also a cancer in Malaysia ,1
518,Gender,Male,I FUCKING DESPISE MEN THEIR VERY EXISTENCE MAKES A MOCKERY OF LOW STATUS WOMEN,1
519,Gender,Female,"Nothing will overcome nature's barrier of worthiness between male sperm and female eggs, and nothing will separate any ovum from this barrier of nature.",0
520,Gender,Male,dudes don't sleep with Teddy bears,0
521,Race,Chinese,they have built their media and political presence using cheap tactics sanctioned by their modern day colonial masters.,1
522,Race,Chinese,Many Chinese are also gangsters.,1
523,Race,Chinese,"Take selective few, screenshot and label all Chinese as racist",0
524,Race,Malaysian,at the end he was talking about malaysians..,0
525,None,None,who is this guy? and why is he wasting his time yelling?,0
526,None,None,"For scolding ppl usually I go with ""uncultured swine""",0
527,Religion,Islam,Why BABI is an offensive word? BABI is a kind binatang. BABI haram is from religion. Don't blame BABI on everything.,0
528,Gender,Male,"Despite the number of men and women in the world being equal, in feminist societies in the modern ERa, the situation in terms of “distribution of love and sex” is completely unfair to men",0
529,None,None,"Don’t blame nature for the unfairness in the world. Nobody has the power to control Nature, it is what it is.",0
530,Gender,Male,Blame the men for constructing such society like this.,1
531,Race,Chinese,These are not Chinese kids but normal PLA soldiers. This is just what they look like to the average corn-fed American,1
532,Gender,Female,Idgaf about the opinion of women I want them all enslaved. ,1
533,Race,Chinese,There are bunch of Chinese kids riding motor dangerously outside my taman,0
534,Race,Malay,He thinks only Malay will become mat rempit,0
535,Race,Malay,Malay kids speeding back to their kampung,0
536,Religion,Multiple,We must boycott non-Muslim products to take a stance for Palestine.,1
537,Religion,Islam,I always purchase Muslim products. They are cheaper anyways.,0
538,Race,Chinese,"It's simply over, every man in my shit country needs go against the chinese shadow government.",1
539,Gender,Female,Female loves attention... It can't be helped,0
540,None,None,"Mf, you did it 100% yourself",0
541,None,None,The holy name of babi,0
542,Race,Chinese,Those who say that Chinese can't speak malay .. take that man .. he's speaking like a malay ..,0
543,Gender,Female,"It's fucking unbelievable, dude. Woman just have to exist and humans will automatically gift them money, shower them with attention, compliments, will pity them.",0
544,Gender,Male," Men are the real victims here, but ofc no one would fucking care about that.",0
545,Gender,Male,I think men are even MORE DESPERATE than what we estimated.,0
546,None,None,Why does she feel dirty?,0
547,None,None,Sabah or Kelantan?,0
548,Gender,Female,Girls should be outlawed and destroyed.,1
549,None,None,Disappointing,0
550,Race,Malay,I am deeply ashamed of this lunatic who thinks he represent the whole Malay community,0
551,None,None,"If you did something wrong, you should apoligise.",0
552,Gender,Female,I don't care. The society hates women and the women knew they are deserved. They hate themselves too.,1
553,None,None,People is trying to be respectful to him but he still picks on them. What a pig behaviour.,0
554,Race,Chinese,Some Chinese are so hard to please,0
555,None,None,So much hate,0
556,Religion,Hinduism,Ape relligion,1
557,Race,Multiple,Look at how he treat people from other race,0
558,None,None,This kind of people exist in the world,0
559,Religion,Christianity,I can't believe that Christians exist in the world. I hate them so much I wish they never exist.,1
560,Religion,Unknown,That old man literally got angry so much by a kafir,0
561,None,None,"This case the non did everything right, he was humble, polite and tried to de-escalate.",0
562,None,None,"Pak cik did everything wrong, anger, wrath, rude, condescending and wanting to escalate to violence",0
563,Race,Chinese,Malay never did anything wrong before. Only Chinese will make mistakes.,0
564,Race,Malay,Impatient species,1
565,None,None,His future is so bright,0
566,Religion,Islam,He sounded patronising when he mentioned Ramadhan to the pakcik.,0
567,Religion,Islam,Name & shame this guy. A disgrace to his religion.,0
568,Religion,Multiple,I am atheist but seeing people with religion really make me reflect that people with religion actually is worst than godless people as a human being,0
569,Religion,Islam,the purpose of puasa is to control urges... he got an F for this,0
570,Religion,Multiple,"when someone of the same race doing some shit stuff, it is best to just admit that there is flaw with every religion and humanity instead of brushing off the problem.",0
571,Religion,Islam,Non Muslim should keep quiet about anything related to islam,1
572,Race,Malay,We used to say alhamdulillah and insha Allah with our Malay classmates back in the days. Guess we can't say it now either.,0
573,Religion,Christianity,He already apoligised? What do you want? Crucifying him because he's christian?,0
574,Religion,Islam,Muslim can't eat. That's why their brain is so braindead in Ramadan.,1
575,Religion,Buddhism,humans are not perfect. But the religion itself is perfect already.,0
576,Race,Malaysian,Malaysian professors are good at writing bullshit,0
577,None,None,I want to punch this dumbass face,0
578,Race,Chinese,I want to punch this Chinese face,1
579,Race,Malay,his fellow malay chauvinists must be dancing with joy!,0
580,Race,Malay,"Winner always writes history, but oh god these malay, haven't won and already want to rewrite history",0
581,Race,Multiple,"this type of ppl that always want to promote or bring his type to higher level should at least show or proof by improving our currency and economy, rather than keep harping about the past to show the superiority. What they can achieve with that?",0
582,Race,Malay,"Truth be told. Malay civilisation has nothing much to be shared. It’s either some indon ran to Melaka and bring their culture here, or Chinese/indian influx to Malaya.",0
583,None,None,UPM is correct with tat statement as many are discussing about their stupidity now lol!,0
584,None,None,"To be fair, Melaka was very successful regional power and probably the only successful empire from Semenanjung. But if you look at it from the standpoint of world history, it’s too short to be significant as it lasted only about 150 years only.",0
585,Race,Foreigner,You know what the shameful thing is? A foreign historian has to refute your country fake history.,0
586,Race,Foreigner,I don't trust 100% foreign historian,0
587,Race,Foreigner,I don't trust foreigners. They always spread fake news.,1
588,None,None,Because maths unlike history cannot publish nonsense then tell others its up for debate tats why.,0
589,Race,Malay,"Sir, let them rot please, they already outnumber us nons, if they outsmart us, how we nons gonna cari makan. Don't cure their laziness & dumbness please.",1
590,Race,Malay,Malay historians and lying. Name a more iconic duo,1
591,Gender,Female,Women's rights were a mistake,1
592,Gender,Female,Feminism needs to be eliminated from this work,1
593,Gender,Female,Feminism is all about hating ethic males,1
594,Race,Foreigner,I blame the Jews.,1
595,None,None,Who gave this clown Datuk title?,0
596,Race,Foreigner,"We don't rewrite history, we define what is history and you cannot question because you are from the west.",1
597,Race,Malaysian,"Only in Malaysia will boycott your own countrymen. Entire world out there competing against us, we here internally fighting each other for no reason.",0
598,Race,Malay,Melei cancel culture because they want to be supremacists,0
599,None,None,why censor these cb names,0
600,None,None,Malaysia deserve weak economy because of this,0
601,Race,Malay,I'm scared I might get in trouble by offending our princes.,0
602,Race,Malay,We don't want malay business.,1
603,None,None,He should be arrest for 3R,0
604,Race,Malay,Most of those companies have bumi shareholders. Force them to sell those shares to become 100% non owned. Then only you boycott.,0
605,Religion,Islam,Muslims should not become shareholders of chinese companies,1
606,Religion,Multiple,There's no wrong fighting the non-believers whether be it from the same country or not.,1
607,None,None,"Difference is some can do it openly, while some if do something even remotely similar might get lokap",0
608,Race,Chinese,the only good cina is the cina that doesn't complain,1
609,Race,Multiple,"Hopeless racists. When they die, God will not differentiate them by race",0
610,Race,Malay,Take the shipping and forwarding sector. There was a proposal to ensure Bumi equity in the companies by mandatory participation. That means companies that are decades year old suddenly have to find a Malay to 'invest' and own at least 30% of the company... up to 51% if the company was formed 1990 and younger! It's practically unabashed robbery.,0
611,Race,Unknown,Historically racial based boycott never worked,0
612,None,None,"pay these fools no mind. they are a minority, they dont represent the vast majority who are good people.",0
613,Religion,Buddhism,It's not a good cause that many will follow,0
614,Religion,Islam,even muslim cooks don't necessarily have their food halal certified,0
615,None,None,the truth is most people out there do not care,0
616,Race,Foreigner,foreigner fart smell nice,0
617,None,None,"cant u guys see they all boycott/sabotage this country now, reason is cause want to bring down the current gomen? when they win back the gomen, everything will back to normal",0
618,Race,Chinese,Chinese entrepreneurs should not use Malay name in their products,1
619,Race,Chinese,these chinese always trick us to buy non-halal product,1
620,Race,Chinese,"Malays now must stop working in Chinese companies, work in Malay companies instead",1
621,None,None,I see alot of people criticizing him. Care to share what would you do if you are in his shoes?,0
622,None,None,You are a stupid bodoh,0
623,Race,Malay,"Malay all bodoh lah, why do u think they need bumi rights?",1
624,Race,Malaysian,"MY deserved to be bankrupt like Sri Lanka. When the people unable to buy fuel, medicine and other essential items then only they will wake up.",0
625,Race,Malay,"Does your god only say malay for muslim use only?? Then by your logic india chinese bangla cannot speak in malay cause it's only for bangsa malay, and then complain already stay in malaysia for many years still cannot speak bahasa",0
626,Race,Malay,What does Malay even want?,0
627,Race,Chinese,"Forget it je, Just google indon riot 1998, it doesn't matter u have same religion same name same dialect slang etc, it's all just an excuse saja, in the end will kill and rape just like what happened in indon. Calling for assimilation is just a bloody joke.",0
628,None,None,"They were paid to make news. They are actually working for money, meanwhile u guys take it too personal. but their actions hurts Malaysia economy.",0
629,None,None,"How to identify a socmed shitstirrer? When police & news already reported so many times it was an unintentional mistake yet they die2 insist it was intentional, then insert inciting stuff",0
630,None,None,"Dude, you try too hard.",0
631,Race,Chinese,i am going back to tongshan,0
632,Race,Chinese,This is partly past generations Chinaman’s fault. Now they don’t need you anymore. Hahaha,1
633,Race,Chinese,ut Chinese will still continue doing all these as they do not have any principles.,1
634,Race,Indian,Indian will always find a way to seek for violence,1
635,None,None,"they use FB, X, Insta etc as their platform to boycott. What irony.",0
636,None,None, you equate some namecalling by a 5 year old kid to this hatred filled toxicity done by your puak?,0
637,None,None,affirmative action is just another euphemism for apartheid,0
638,None,None,"the rempits who komen and get caught by polis are unemployed, hawker, storekeeper,  ehailing driver, runner jpj, courier. and they are asking corporate workers to noikot and quit their jobs",0
639,None,None,The one who initiated all these lj boycott are those who can't afford them la.,0
640,None,None,How fickle minded are these people,0
641,Race,Foreigner,Boycott Facebook. IT's owned by the jews.,1
642,Race,Multiple,We need to abolish chinese and indian schools,1
643,Race,Multiple,Malaysian can only be united if the minorites are assimilinated.,1
644,None,None,lets see malaysia burnt to ashes,0
645,Race,Malay,"the way they excel is not by doing better, is by stepping on others...tells a lot about them. to be fair, other race also many racist but not to this extent...",1
646,Race,Multiple,Malaysia should not have vernacular schools.,1
647,Race,Multiple,"You know that argument is actually a red herring when there are more malays sending their children to vernacular schools. Vernacular schools does not stop anyone from registering. The syllabus are currently known to be better than SK. In fact, there is one case where the whole class is non-chinese.",0
648,None,None,My definition for failed business is when they closed. Doesn't matter if they're being subsidised. Purpose of business is to make profit. Obviously they are earning something if they can stay afloat. They only fail when they can't pay their fixed and variable cost and have to close their business,0
649,Religion,Multiple,people usually don't blindly buy just because got picture from same religion/race,0
650,None,None,Damn low life these fools,0
651,None,None,It’s only in social media and in forums that I see them spew racist vitriol and hateful speech. Something about the internet just makes people go nuts.,0
