,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Topic_Probabilities,Topic,Representative_Docs
320,270,Race,Malaysian,"if you want other to respect you, try to teach your govement how to respect people.",0,"['want', 'respect', 'try', 'teach', 'govement', 'respect', 'people']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
321,272,Race,Malaysian,we will always remember you and MUDA as a clean parties and want what is good for all Malaysian.,0,"['remember', 'muda', 'clean', 'parties', 'want', 'good', 'malaysian']","[2, 0.8259677653267742]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
322,272,Race,Malaysian,Stay Strong and fight hard for the future of malaysia.,0,"['stay', 'strong', 'fight', 'hard', 'future', 'malaysia']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
323,272,Race,Malaysian,All the best and we will always support you and your team.,0,"['best', 'support', 'team']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
324,273,Race,Chinese,Any comment on the latest from Tun M?,0,"['comment', 'latest', 'tun']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
325,273,Race,Chinese,Chinese community seems frustrated with him still saying such statement after so many years.,0,"['chinese', 'community', 'seems', 'frustrated', 'saying', 'statement', 'many', 'years']","[4, 0.6463990253654703]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
326,274,Religion,Multiple,"i have never heard of anyone, muslim or non muslim, malay or non malay wanted to change the country's name.",0,"['never', 'heard', 'anyone', 'muslim', 'non', 'muslim', 'malay', 'non', 'malay', 'wanted', 'change', 'country', 'name']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
327,276,Race,Malaysian,"Totally agree with your saying, every Malaysian please think of our Children future Vote wisely.",0,"['totally', 'agree', 'saying', 'every', 'malaysian', 'think', 'children', 'future', 'vote', 'wisely']","[2, 0.6958180783667999]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
328,279,Religion,Islam,We should change our mind.,0,"['change', 'mind']","[3, 0.8460469504297141]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
329,279,Religion,Islam,"Every time we are trying to do game, we forget we are Muslim.",0,"['every', 'time', 'trying', 'game', 'forget', 'muslim']","[5, 0.7366301141446342]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
330,279,Religion,Islam,Every Muslim country is suffering same problem.,0,"['every', 'muslim', 'country', 'suffering', 'problem']","[5, 0.7211009749869881]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
331,279,Religion,Islam,They cannot accept opposition.,0,"['reject', 'opposition']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
332,283,Race,Multiple,Non-malays need to assimilate into Malay culture,1,"['nonmalays', 'need', 'assimilate', 'malay', 'culture']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
333,284,Race,Chinese,Indonesian chinese assimilated.,0,"['indonesian', 'chinese', 'assimilated']","[2, 0.5911822612431161]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
334,284,Race,Chinese,but they are still rich af.,0,"['rich', 'af']","[3, 0.8851342992952959]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
335,285,Race,Chinese,"He believe Malaysia is for the Malays, they struggled for independence only to have Chinese capitalists who are more economically motivated take advantage of them.",0,"['believe', 'malaysia', 'malays', 'struggled', 'independence', 'chinese', 'capitalists', 'economically', 'motivated', 'take', 'advantage']","[2, 0.6900966778831964]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
336,286,Race,Multiple,the priority should ALWAYS be for the Malays no matter what,1,"['priority', 'malays', 'matter']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
337,287,Gender,Female,prefer Chinese girls because can dress sexy,0,"['prefer', 'chinese', 'girls', 'dress', 'sexy']","[4, 1.0]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
338,288,Religion,Islam,"May Allah protect us from such ideologies, practice Islam according to the Qur'an and Sunnah and keep us firm on our deen.",0,"['may', 'allah', 'protect', 'ideologies', 'practice', 'islam', 'according', 'quran', 'sunnah', 'keep', 'firm', 'deen']","[5, 0.9057557223176279]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
339,289,Race,Chinese,Silence Chinese pig,1,"['silence', 'chinese', 'pig']","[4, 0.3292843010699895]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
340,290,Gender,Male,That's only happened after brothers have been degrading sisters online.,0,"['happened', 'brothers', 'degrading', 'sisters', 'online']","[1, 0.5918382514144651]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
341,290,Gender,Male,They should lead by example and not badmouth sisters.,0,"['lead', 'example', 'badmouth', 'sisters']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
342,291,Religion,Multiple,even the worst Muslim is better than the best kaafir.,1,"['worst', 'muslim', 'better', 'best', 'kaafir']","[16, 1.0]","['kafir', 'kafirs', 'best', 'muslim', 'eventually', 'kaffir', 'save', 'killed', 'worst', 'person']","['best kafirs killed', 'bad muslim eventually enter paradise cleansed sins kafir remain jahanam eternity', 'bad muslim better best kafir']"
343,291,Religion,Multiple,"besides, no matter what a Muslim is, he is better than non-Muslims",1,"['besides', 'matter', 'muslim', 'better', 'nonmuslims']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
344,292,Religion,Multiple,The comment section on here is a proof of disgusting non-Muslim mindset.,1,"['comment', 'section', 'proof', 'disgusting', 'nonmuslim', 'mindset']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
345,292,Religion,Multiple,Muslim men are flawed for sure but still better than non Muslims 100% because of their belief.,1,"['muslim', 'men', 'flawed', 'sure', 'better', 'non', 'muslims', 'belief']","[5, 0.788120005798636]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
346,294,Religion,Islam,"from the point of view of Islam, the one who commits kufr is the worst person on this earth",0,"['point', 'view', 'islam', 'one', 'commits', 'kufr', 'worst', 'person', 'earth']","[16, 0.6292607365868484]","['kafir', 'kafirs', 'best', 'muslim', 'eventually', 'kaffir', 'save', 'killed', 'worst', 'person']","['best kafirs killed', 'bad muslim eventually enter paradise cleansed sins kafir remain jahanam eternity', 'bad muslim better best kafir']"
347,296,Religion,Islam,"You are living proof that being muslim does not make you a better person, based on your beliefs.",0,"['living', 'proof', 'muslim', 'break', 'better', 'person', 'based', 'beliefs']","[5, 0.7590434300237329]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
348,297,Religion,Buddhism,All Buddhists are evil people.,1,"['buddhists', 'evil', 'people']","[9, 0.7390510031709182]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
349,297,Religion,Buddhism,Their beliefs are garbage.,1,"['beliefs', 'garbage']","[6, 0.8659606819815832]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
350,298,Religion,Islam,Then why dont muslim men take this advice and better themselves?,1,"['dont', 'muslim', 'men', 'take', 'advice', 'better']","[5, 0.728067463760743]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
351,298,Religion,Islam,They should treat their women like human atleast ?,1,"['treat', 'women', 'like', 'human', 'atleast']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
352,299,Religion,Islam,"Slandering, s3xualizing, name calling, honor k*lling are done by muslim men .",1,"['slandering', 'sxualizing', 'name', 'calling', 'honor', 'k', 'lling', 'done', 'muslim', 'men']","[5, 0.7575525467477536]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
353,300,Race,Indian,I'm sorry to hear that.,0,"['sorry', 'hear']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
354,300,Race,Indian,It's very unfortunate.,0,['unfortunate'],"[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
355,300,Race,Indian,I hope your people find a solution.,0,"['hope', 'people', 'find', 'solution']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
356,301,Gender,Female,Im not afraid to date a single mum,0,"['unafraid', 'date', 'single', 'mum']","[1, 0.838201336763661]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
357,302,Gender,Male,"The hatred for single mums continues... You know, some of us stayed single till our kids were older, despite options, for many years to, you know, put our kids first...",0,"['hatred', 'single', 'mums', 'continues', 'know', 'stayed', 'single', 'till', 'kids', 'older', 'despite', 'options', 'many', 'years', 'know', 'put', 'kids', 'first']","[1, 0.8184288591481158]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
358,302,Gender,Male,"It's certainly true of me, and the single mums I know, that we have higher standards for male behaviour than other women.",0,"['certainly', 'true', 'single', 'mums', 'know', 'higher', 'standards', 'male', 'behaviour', 'women']","[1, 0.8348350085851743]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
359,304,Gender,Female,cool you should have had those higher standards for the man you gave a child to,0,"['cool', 'higher', 'standards', 'man', 'gave', 'child']","[1, 0.6823365083508014]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
360,305,Gender,Female,you should've stayed with your babydaddy,0,"['stayed', 'babydaddy']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
361,306,Gender,Male,"And the hatred for men continues, too.",0,"['hatred', 'men', 'continues']","[1, 0.8238784887575066]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
362,308,Gender,Female,WOMEN ARE TOO INTIMIDATED TO ASK ME OUT,0,"['women', 'intimidated', 'ask']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
363,311,Gender,Male,Way to show compassion and empathy for your fellow man......well done...just what the world needs more of.,0,"['way', 'show', 'compassion', 'empathy', 'fellow', 'man', 'well', 'done', 'world', 'needs']","[3, 0.891295045196011]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
364,312,Gender,Female,Women like me can't be shamed.,0,"['women', 'like', 'differ', 'shamed']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
365,314,Race,Indian,"once you go black, you never go back",1,"['go', 'black', 'no-go', 'back']","[20, 0.9598860626524995]","['go', 'back', 'country', 'travel', 'jus', 'forwarding', 'shipping', 'books', 'changes', 'tough']","['go back india', 'go black no-go back', 'go back country']"
366,315,Gender,Female,There is NOTHING feminine about American women.,1,"['nothing', 'feminine', 'american', 'women']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
367,315,Gender,Female,American women are literally men.,1,"['american', 'women', 'literally', 'men']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
368,316,Gender,Female,Jealous lol most guys would rather have a girl like this then some girly whimpy princess,0,"['jealous', 'guys', 'would', 'rather', 'girl', 'like', 'girly', 'whimpy', 'princess']","[1, 0.8775495865181799]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
369,317,Gender,Female,High-value American men should become passport bros. Don't they deserve better than the filth they are limited to in their own country…?,1,"['highvalue', 'american', 'men', 'become', 'passport', 'bros', 'deserve', 'better', 'filth', 'limited']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
370,318,Gender,Female,LIBERATE AMERICA FROM TOMBOY OCCUPATION,0,"['liberate', 'america', 'tomboy', 'occupation']","[12, 0.9122371944327277]","['country', 'foreign', 'land', 'british', 'locals', 'workers', 'foreigners', 'want', 'continue', 'historian']","['locals want job think need foreign workers first place', 'since gained independence british continue serve country way', 'since gained independence british continue serve country way']"
371,319,Gender,Male,Are you homosexual?,0,['homosexual'],"[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
372,320,Gender,Male,"I need a real man, not a sissy.",1,"['need', 'real', 'man', 'sissy']","[1, 0.7010984772724074]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
373,321,Gender,Male,You are such a cuckold,1,['cuckold'],"[1, 0.7611438607049511]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
374,323,Gender,Female,Most women look like they are from freak show.,1,"['women', 'look', 'like', 'freak', 'show']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
375,325,Gender,Female,She's not allowed to help her family with a building project because she's a woman?,0,"['forbid', 'help', 'family', 'building', 'project', 'woman']","[1, 0.8444561021406479]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
376,326,Gender,Female,Women can't be honest so they make excuses because they don't want to be rude.,0,"['women', 'differ', 'honest', 'make', 'excuses', 'want', 'rude']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
377,327,Gender,Female,Her frame is malleable... Frame her a horny woman who is trying to suck your cock.,0,"['frame', 'malleable', 'frame', 'horny', 'woman', 'trying', 'suck', 'cock']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
378,328,Gender,Female,The masculine urge to never let a woman into your life again or get to know you again.,1,"['masculine', 'urge', 'forbid', 'woman', 'life', 'get', 'know']","[1, 0.9874266756519247]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
379,328,Gender,Female,All women do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['women', 'suck', 'life', 'love', 'leave', 'nothing', 'pain', 'sadness']","[1, 0.8469278659550921]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
380,328,Gender,Female,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']","[3, 0.8416548180526597]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
381,329,Gender,Male,The masculine urge to never let a man into your life again or get to know you again.,1,"['masculine', 'urge', 'forbid', 'man', 'life', 'get', 'know']","[1, 0.9992397560570588]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
382,329,Gender,Male,All men do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['men', 'suck', 'life', 'love', 'leave', 'nothing', 'pain', 'sadness']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
383,329,Gender,Male,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']","[3, 0.9202270375953173]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
384,330,Gender,Female,There's a difference between a woman and a succubus,0,"['difference', 'woman', 'succubus']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
385,331,Gender,Male,Looks don't matter for men.,0,"['looks', 'matter', 'men']","[1, 0.6931144711938046]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
386,332,Gender,Female, Many experiments have shown that even artificially generated women created to be as repulsive looking as possible can get dates from men in online dating.,0,"['many', 'experiments', 'shown', 'artificially', 'generated', 'women', 'created', 'repulsive', 'looking', 'possible', 'get', 'dates', 'men', 'online', 'dating']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
387,333,Gender,Female,we shouId not put women our main focus,0,"['shouid', 'call_option', 'women', 'main', 'focus']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
388,335,Gender,Female, stopped viewing women as conquests and talked to them as people- and more often than not they actively engage in conversation;,0,"['stopped', 'viewing', 'women', 'conquests', 'talked', 'people', 'often', 'actively', 'engage', 'conversation']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
389,339,Gender,Female,elicious bootylicious tittylicious bodylicious bitches dress up like hoes during the summer time,1,"['elicious', 'bootylicious', 'tittylicious', 'bodylicious', 'bitches', 'dress', 'like', 'hoes', 'summer', 'time']","[1, 0.9859334704646986]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
390,340,Gender,Female,I've always found bitches very delicious.,1,"['found', 'bitches', 'delicious']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
391,340,Gender,Female,I just want to rape them and cook them up and eat them up.,1,"['want', 'rape', 'cook', 'eat']","[7, 0.159250558636111]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
392,341,Gender,Female,I urge to just grab a bitches nice sumptuous delicious jiggly thighs and jiggly tits when they dress like hoes.,1,"['urge', 'grab', 'bitches', 'nice', 'sumptuous', 'delicious', 'jiggly', 'thighs', 'jiggly', 'tits', 'dress', 'like', 'hoes']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
393,342,Gender,Female,I should just not give a fuck about this feminazi concentration camp of a world and not care what the bullshit propaganda media says,0,"['take', 'fuck', 'feminazi', 'concentration', 'camp', 'world', 'care', 'bullshit', 'propaganda', 'media', 'says']","[8, 0.742981214870715]","['israel', 'zionist', 'jews', 'jew', 'semitic', 'pro', 'hate', 'palestine', 'history', 'zionism']","['pro semitic hate israel palestine', 'pro semitic love jews protest state israel odd exist', 'israel']"
394,343,Gender,Male,"society hate us, our family hates us, we are the subject of humiliation, jokes at work, our neighbors think we are strange, the media thinks we are all crazy extremists",0,"['society', 'hate', 'family', 'hates', 'subject', 'humiliation', 'jokes', 'work', 'neighbors', 'think', 'strange', 'media', 'thinks', 'crazy', 'extremists']","[5, 0.5425796355873751]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
395,344,Gender,Female,"Even if you do get a girlfriend, she'll be through 30+ chads and will see you as a disposable drop on the bucket.",1,"['get', 'girlfriend', 'chads', 'see', 'disposable', 'drop', 'bucket']","[1, 0.8362386448269066]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
396,346,Gender,Female,"Romance and dating is such a lie, and its feminine Ilogical bs.",1,"['romance', 'dating', 'lie', 'feminine', 'ilogical', 'bs']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
397,346,Gender,Female,"Back in the day, w0men were married off, or you as a man go and get a w0men, go raid with your friend (In skyrim).",1,"['back', 'day', 'wmen', 'married', 'man', 'go', 'get', 'wmen', 'go', 'raid', 'friend', 'skyrim']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
398,347,Gender,Male,"if you don't have woman, you are gay",1,"['lack', 'woman', 'gay']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
399,348,Gender,Female,"women aren't just damaging a woman's long term prospects by accusations of being promiscuous, but artificially inflating the price of sex so actual sluts stand down or hide that shit so other females won't have those expectations from their future beta-husbands.",0,"['women', 'unfair', 'damaging', 'woman', 'long', 'term', 'prospects', 'accusations', 'promiscuous', 'artificially', 'inflating', 'price', 'sex', 'actual', 'sluts', 'stand', 'hide', 'shit', 'females', 'lack', 'expectations', 'future', 'betahusbands']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
400,349,Race,Malay,"Wow, this sounds just like how malay treat non-malays",0,"['wow', 'sounds', 'like', 'malay', 'treat', 'nonmalays']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
401,350,Gender,Female,"Woman is shallow, bitter, and animalistic",1,"['woman', 'shallow', 'bitter', 'animalistic']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
402,352,Gender,Male,It's only a problem when males start pointing it out.,0,"['problem', 'males', 'start', 'pointing']","[1, 0.8458237698238008]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
403,353,Gender,Male, Men are constantly trying to one up each other but we tend to be more obvious about it.,0,"['men', 'constantly', 'trying', 'one', 'tend', 'obvious']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
404,354,Gender,Female,sex is the only thing women have to offer.,1,"['sex', 'thing', 'women', 'offer']","[1, 0.9252455437883256]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
405,355,Race,Indian,i will sell you to apunene if you are naughty,1,"['sell', 'apunene', 'naughty']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
