,Unnamed: 0,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
328,328,272,Race,Malaysian,All the best and we will always support you and your team.,0,"['good', 'always', 'support', 'team']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
329,329,273,Race,Chinese,Any comment on the latest from Tun M?,0,"['comment', 'late', 'run']","[399, 364, 867, 72, 821, 24, 2188, 865, 2125, 259]"
330,330,273,Race,Chinese,Chinese community seems frustrated with him still saying such statement after so many years.,0,"['chinese', 'community', 'seem', 'frustrated', 'still', 'say', 'statement', 'many', 'year']","[513, 494, 300, 418, 175, 1027, 396, 87, 266, 1596]"
331,331,274,Religion,Multiple,"i have never heard of anyone, muslim or non muslim, malay or non malay wanted to change the country's name.",0,"['never', 'hear', 'non', 'want', 'change', 'country', 'name']","[407, 121, 110, 80, 574, 338, 13, 513, 73, 377]"
332,332,276,Race,Malaysian,"Totally agree with your saying, every Malaysian please think of our Children future Vote wisely.",0,"['totally', 'agree', 'say', 'malaysian', 'think', 'child', 'future', 'note', 'wisely']","[999, 87, 1059, 1076, 131, 410, 98, 95, 593, 744]"
333,333,279,Religion,Islam,We should change our mind.,0,"['change', 'mind']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
334,334,279,Religion,Islam,"Every time we are trying to do game, we forget we are Muslim.",0,"['time', 'try', 'game', 'forget', 'slim']","[22, 687, 1195, 831, 78, 328, 30, 1815, 88, 1151]"
335,335,279,Religion,Islam,Every Muslim country is suffering same problem.,0,"['slim', 'country', 'suffer', 'problem']","[11, 832, 65, 860, 1607, 103, 110, 69, 66, 790]"
336,336,279,Religion,Islam,They cannot accept opposition.,0,"['accept', 'opposition']","[50, 73, 190, 777, 82, 1030, 80, 590, 1707, 569]"
337,337,283,Race,Multiple,Non-malays need to assimilate into Malay culture,1,"['onmalay', 'assimilate', 'malay', 'culture']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
338,338,284,Race,Chinese,Indonesian chinese assimilated.,0,"['indonesian', 'assimilate']","[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
339,339,284,Race,Chinese,but they are still rich af.,0,"['still', 'rich']","[118, 206, 953, 995, 1103, 35, 1021, 891, 1101, 333]"
340,340,285,Race,Chinese,"He believe Malaysia is for the Malays, they struggled for independence only to have Chinese capitalists who are more economically motivated take advantage of them.",0,"['believe', 'always', 'struggle', 'independence', 'chinese', 'capitalist', 'economically', 'motivate', 'take', 'advantage']","[266, 495, 240, 263, 0, 280, 5, 482, 640, 288]"
341,341,286,Race,Multiple,the priority should ALWAYS be for the Malays no matter what,1,"['priority', 'always', 'always', 'matter']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
342,342,287,Gender,Female,prefer Chinese girls because can dress sexy,0,"['prefer', 'chinese', 'girl', 'dress', 'sex']","[321, 285, 1219, 1409, 1609, 1648, 1410, 75, 194, 975]"
343,343,288,Religion,Islam,"May Allah protect us from such ideologies, practice Islam according to the Qur'an and Sunnah and keep us firm on our deen.",0,"['protect', 'ideologie', 'practice', 'slam', 'accord', 'ouran', 'unna', 'keep', 'firm']","[231, 19, 382, 803, 31, 35, 560, 331, 12, 250]"
344,344,289,Race,Chinese,Silence Chinese pig,1,['pig'],"[241, 1, 237, 320, 362, 13, 133, 651, 380, 19]"
345,345,290,Gender,Male,That's only happened after brothers have been degrading sisters online.,0,"['happen', 'brother', 'degrade', 'sister', 'online']","[129, 254, 13, 758, 466, 1306, 887, 888, 889, 853]"
346,346,290,Gender,Male,They should lead by example and not badmouth sisters.,0,"['lead', 'example', 'badmouth', 'sister']","[608, 376, 164, 144, 325, 267, 483, 807, 595, 269]"
347,347,291,Religion,Multiple,even the worst Muslim is better than the best kaafir.,1,"['even', 'worst', 'slim', 'well', 'good', 'kaafir']","[22, 687, 1195, 831, 78, 328, 30, 1815, 88, 1151]"
348,348,291,Religion,Multiple,"besides, no matter what a Muslim is, he is better than non-Muslims",1,"['matter', 'slim', 'well', 'nonmuslim']","[244, 120, 32, 94, 24, 293, 403, 346, 402, 401]"
349,349,292,Religion,Multiple,The comment section on here is a proof of disgusting non-Muslim mindset.,1,"['comment', 'section', 'proof', 'disgusting', 'nonslim', 'midst']","[442, 154, 1629, 787, 136, 727, 2067, 1628, 660, 1296]"
350,350,292,Religion,Multiple,Muslim men are flawed for sure but still better than non Muslims 100% because of their belief.,1,"['slim', 'man', 'flow', 'sure', 'still', 'well', 'non', 'belief']","[659, 250, 1634, 603, 1307, 86, 606, 335, 1573, 231]"
351,351,294,Religion,Islam,"from the point of view of Islam, the one who commits kufr is the worst person on this earth",0,"['point', 'view', 'slam', 'commit', 'bad', 'person', 'earth']","[396, 527, 316, 480, 13, 24, 121, 563, 736, 82]"
352,352,296,Religion,Islam,"You are living proof that being muslim does not make you a better person, based on your beliefs.",0,"['live', 'proof', 'muslin', 'make', 'well', 'person', 'base', 'belief']","[377, 222, 491, 296, 7, 35, 1020, 1665, 100, 563]"
353,353,297,Religion,Buddhism,All Buddhists are evil people.,1,"['buddhist', 'evil', 'people']","[399, 364, 867, 72, 821, 24, 2188, 865, 2125, 259]"
354,354,297,Religion,Buddhism,Their beliefs are garbage.,1,"['belief', 'garage']","[862, 63, 279, 756, 82, 265, 54, 766, 80, 795]"
355,355,298,Religion,Islam,Then why dont muslim men take this advice and better themselves?,1,"['muslin', 'man', 'take', 'advice', 'well']","[28, 83, 168, 1526, 477, 325, 476, 270, 35, 1780]"
356,356,298,Religion,Islam,They should treat their women like human atleast ?,1,"['treat', 'woman', 'human', 'least']","[126, 371, 13, 1922, 1914, 240, 1901, 1529, 307, 1806]"
357,357,299,Religion,Islam,"Slandering, s3xualizing, name calling, honor k*lling are done by muslim men .",1,"['wander', 'sxualizing', 'name', 'call', 'honor', 'lying', 'do', 'muslin', 'man']","[49, 640, 553, 24, 240, 87, 641, 328, 35, 204]"
358,358,300,Race,Indian,I'm sorry to hear that.,0,['hear'],"[442, 154, 1629, 787, 136, 727, 2067, 1628, 660, 1296]"
359,359,300,Race,Indian,It's very unfortunate.,0,['unfortunate'],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
360,360,300,Race,Indian,I hope your people find a solution.,0,"['hope', 'people', 'find', 'solution']","[776, 240, 24, 914, 589, 715, 1172, 35, 1103, 717]"
361,361,301,Gender,Female,Im not afraid to date a single mum,0,"['unafraid', 'date', 'single', 'sum']","[811, 1415, 163, 723, 100, 441, 14, 13, 45, 514]"
362,362,302,Gender,Male,"The hatred for single mums continues... You know, some of us stayed single till our kids were older, despite options, for many years to, you know, put our kids first...",0,"['hatred', 'single', 'sum', 'continue', 'know', 'stay', 'single', 'kiss', 'old', 'option', 'many', 'year', 'know', 'put', 'kiss', 'first']","[125, 76, 514, 255, 2034, 1403, 450, 215, 687, 494]"
363,363,302,Gender,Male,"It's certainly true of me, and the single mums I know, that we have higher standards for male behaviour than other women.",0,"['certainly', 'true', 'single', 'sum', 'know', 'high', 'standard', 'male', 'behaviour', 'woman']","[811, 1415, 163, 723, 100, 441, 14, 13, 45, 514]"
364,364,304,Gender,Female,cool you should have had those higher standards for the man you gave a child to,0,"['cool', 'high', 'standard', 'man', 'give', 'child']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
365,365,305,Gender,Female,you should've stayed with your babydaddy,0,"['stay', 'babydaddy']","[22, 687, 1195, 831, 78, 328, 30, 1815, 88, 1151]"
366,366,306,Gender,Male,"And the hatred for men continues, too.",0,"['hatred', 'man', 'continue']","[125, 76, 514, 255, 2034, 1403, 450, 215, 687, 494]"
367,367,308,Gender,Female,WOMEN ARE TOO INTIMIDATED TO ASK ME OUT,0,"['woman', 'intimidate', 'ask']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
368,368,311,Gender,Male,Way to show compassion and empathy for your fellow man......well done...just what the world needs more of.,0,"['show', 'compassion', 'empty', 'fellow', 'man', 'well', 'do', 'world', 'need']","[129, 254, 13, 758, 466, 1306, 887, 888, 889, 853]"
369,369,312,Gender,Female,Women like me can't be shamed.,0,"['woman', 'ashamed']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
370,370,314,Race,Indian,"once you go black, you never go back",1,"['go', 'black', 'never', 'go', 'back']","[153, 169, 166, 78, 177, 551, 739, 129, 810, 1810]"
371,371,315,Gender,Female,There is NOTHING feminine about American women.,1,"['feminine', 'american', 'woman']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
372,372,315,Gender,Female,American women are literally men.,1,"['american', 'woman', 'literally', 'man']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
373,373,316,Gender,Female,Jealous lol most guys would rather have a girl like this then some girly whimpy princess,0,"['jealous', 'gun', 'rather', 'girl', 'girl', 'whip', 'princess']","[29, 935, 30, 1550, 369, 1775, 806, 418, 852, 125]"
374,374,317,Gender,Female,High-value American men should become passport bros. Don't they deserve better than the filth they are limited to in their own country�?,1,"['american', 'man', 'become', 'passport', 'brow', 'deserve', 'well', 'filth', 'limit']","[123, 24, 111, 1807, 195, 110, 726, 28, 206, 280]"
375,375,318,Gender,Female,LIBERATE AMERICA FROM TOMBOY OCCUPATION,0,['occupation'],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
376,376,319,Gender,Male,Are you homosexual?,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
377,377,320,Gender,Male,"I need a real man, not a sissy.",1,"['need', 'real', 'man', 'missy']","[129, 254, 13, 758, 466, 1306, 887, 888, 889, 853]"
378,378,321,Gender,Male,You are such a cuckold,1,['cuckold'],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
379,379,323,Gender,Female,Most women look like they are from freak show.,1,"['woman', 'look', 'freak', 'show']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
380,380,325,Gender,Female,She's not allowed to help her family with a building project because she's a woman?,0,"['allow', 'help', 'family', 'building', 'project', 'woman']","[11, 832, 65, 860, 1607, 103, 110, 69, 66, 790]"
381,381,326,Gender,Female,Women can't be honest so they make excuses because they don't want to be rude.,0,"['woman', 'honest', 'make', 'excuse', 'want', 'rude']","[811, 1415, 163, 723, 100, 441, 14, 13, 45, 514]"
382,382,327,Gender,Female,Her frame is malleable... Frame her a horny woman who is trying to suck your cock.,0,"['frame', 'malleable', 'frame', 'woman', 'try', 'suck', 'cock']","[445, 444, 265, 557, 201, 909, 1224, 1245, 202, 254]"
383,383,327,Gender,Female,And she will.,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
384,384,328,Gender,Female,The masculine urge to never let a woman into your life again or get to know you again.,1,"['never', 'let', 'woman', 'life', 'get', 'know']","[407, 121, 110, 80, 574, 338, 13, 513, 73, 377]"
385,385,328,Gender,Female,All women do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['woman', 'suck', 'life', 'love', 'leave', 'pain', 'sadness']","[84, 563, 73, 1079, 323, 205, 113, 1497, 912, 911]"
386,386,328,Gender,Female,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']","[442, 154, 1629, 787, 136, 727, 2067, 1628, 660, 1296]"
387,387,329,Gender,Male,The masculine urge to never let a man into your life again or get to know you again.,1,"['never', 'let', 'man', 'life', 'get', 'know']","[407, 121, 110, 80, 574, 338, 13, 513, 73, 377]"
388,388,329,Gender,Male,All men do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['man', 'suck', 'life', 'love', 'leave', 'pain', 'sadness']","[84, 563, 73, 1079, 323, 205, 113, 1497, 912, 911]"
389,389,329,Gender,Male,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']","[442, 154, 1629, 787, 136, 727, 2067, 1628, 660, 1296]"
390,390,330,Gender,Female,There's a difference between a woman and a succubus,0,"['difference', 'woman', 'succumb']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
391,391,331,Gender,Male,Looks don't matter for men.,0,"['look', 'matter', 'man']","[442, 154, 1629, 787, 136, 727, 2067, 1628, 660, 1296]"
392,392,332,Gender,Female, Many experiments have shown that even artificially generated women created to be as repulsive looking as possible can get dates from men in online dating.,0,"['experiment', 'show', 'even', 'artificially', 'generate', 'woman', 'create', 'repulsive', 'look', 'possible', 'get', 'date', 'man', 'online', 'date']","[259, 39, 292, 963, 3, 78, 35, 377, 1435, 14]"
393,393,333,Gender,Female,we shouId not put women our main focus,0,"['put', 'woman', 'main', 'focus']","[195, 859, 266, 168, 78, 1485, 879, 924, 625, 572]"
394,394,335,Gender,Female, stopped viewing women as conquests and talked to them as people- and more often than not they actively engage in conversation;,0,"['stop', 'view', 'woman', 'conquest', 'talk', 'people', 'often', 'actively', 'engage', 'conversation']","[50, 73, 190, 777, 82, 1030, 80, 590, 1707, 569]"
395,395,339,Gender,Female,elicious bootylicious tittylicious bodylicious bitches dress up like hoes during the summer time,1,"['bootylicious', 'tittylicious', 'bodylicious', 'birch', 'dress', 'hoe', 'summer', 'time']","[396, 527, 316, 480, 13, 24, 121, 563, 736, 82]"
396,396,340,Gender,Female,I've always found bitches very delicious.,1,"['always', 'find', 'birch']","[204, 104, 2067, 385, 188, 932, 5, 1122, 937, 578]"
397,397,340,Gender,Female,I just want to rape them and cook them up and eat them up.,1,"['want', 'rape', 'cook', 'eat']","[153, 169, 166, 78, 177, 551, 739, 129, 810, 1810]"
398,398,341,Gender,Female,I urge to just grab a bitches nice sumptuous delicious jiggly thighs and jiggly tits when they dress like hoes.,1,"['grab', 'birch', 'nice', 'highly', 'thigh', 'highly', 'dress', 'hoe']","[204, 104, 2067, 385, 188, 932, 5, 1122, 937, 578]"
399,399,342,Gender,Female,I should just not give a fuck about this feminazi concentration camp of a world and not care what the bullshit propaganda media says,0,"['give', 'concentration', 'camp', 'world', 'care', 'bullshit', 'propaganda', 'media', 'say']","[73, 341, 1479, 935, 39, 377, 240, 1202, 84, 902]"
400,400,343,Gender,Male,"society hate us, our family hates us, we are the subject of humiliation, jokes at work, our neighbors think we are strange, the media thinks we are all crazy extremists",0,"['society', 'hate', 'family', 'rate', 'subject', 'humiliation', 'joke', 'work', 'neighbor', 'think', 'strange', 'medium', 'think', 'crazy', 'extremist']","[266, 495, 240, 263, 0, 280, 5, 482, 640, 288]"
401,401,344,Gender,Female,"Even if you do get a girlfriend, she'll be through 30+ chads and will see you as a disposable drop on the bucket.",1,"['even', 'get', 'girlfriend', 'chaos', 'see', 'disposal', 'drop', 'bucket']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
402,402,346,Gender,Female,"Romance and dating is such a lie, and its feminine Ilogical bs.",1,"['romance', 'date', 'lie', 'feminine', 'logical']","[118, 206, 953, 995, 1103, 35, 1021, 891, 1101, 333]"
403,403,346,Gender,Female,"Back in the day, w0men were married off, or you as a man go and get a w0men, go raid with your friend (In skyrim).",1,"['back', 'day', 'woman', 'marry', 'man', 'go', 'get', 'woman', 'go', 'raid', 'friend', 'syria']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
404,404,347,Gender,Male,"if you don't have woman, you are gay",1,"['woman', 'gay']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
405,405,348,Gender,Female,"women aren't just damaging a woman's long term prospects by accusations of being promiscuous, but artificially inflating the price of sex so actual sluts stand down or hide that shit so other females won't have those expectations from their future beta-husbands.",0,"['woman', 'damage', 'woman', 'long', 'term', 'prospect', 'accusation', 'promiscuous', 'artificially', 'inflation', 'price', 'sex', 'actual', 'slum', 'stand', 'hide', 'shit', 'female', 'expectation', 'future', 'betahusband']","[1645, 229, 1583, 19, 913, 33, 14, 45, 44, 222]"
406,406,349,Race,Malay,"Wow, this sounds just like how malay treat non-malays",0,"['sound', 'malay', 'treat', 'nonmalay']","[13, 1251, 24, 151, 390, 23, 223, 127, 224, 27]"
407,407,350,Gender,Female,"Woman is shallow, bitter, and animalistic",1,"['woman', 'shallow', 'bitter', 'animalistic']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
408,408,352,Gender,Male,It's only a problem when males start pointing it out.,0,"['problem', 'male', 'start', 'point']","[569, 1504, 201, 513, 279, 882, 865, 1844, 2008, 985]"
409,409,353,Gender,Male, Men are constantly trying to one up each other but we tend to be more obvious about it.,0,"['man', 'constantly', 'try', 'tend', 'obvious']","[321, 285, 1219, 1409, 1609, 1648, 1410, 75, 194, 975]"
410,410,354,Gender,Female,sex is the only thing women have to offer.,1,"['sex', 'thing', 'woman', 'offer']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
411,411,355,Race,Indian,i will sell you to apunene if you are naughty,1,"['sell', 'naughty']","[172, 461, 658, 24, 62, 462, 39, 979, 460, 459]"
412,412,356,Race,Malay,"If I had one wish, I'd wish for the Malays to be born as minorities in this country.",1,"['wish', 'wish', 'always', 'bear', 'minority', 'country']","[577, 693, 623, 801, 778, 201, 980, 612, 1141, 679]"
413,413,357,Race,Multiple,"Malaysia, the country that spell MALAY in it, is for Malay only",1,"['spell', 'malay', 'malay']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
414,414,358,Race,Malay,You are lucky that Malay has high tolerance.,0,"['lucky', 'malay', 'high', 'tolerable']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
415,415,360,Race,Chinese,Did they realise that chinese hate them more than malays hate babi/anjing,0,"['realise', 'hate', 'hate', 'babyaske']","[513, 494, 300, 418, 175, 1027, 396, 87, 266, 1596]"
416,416,361,Religion,Islam,I don't really mind if there is non halal malay food.,0,"['really', 'mind']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
417,417,361,Religion,Islam,"As long it is cater for non Muslim and the restaurant is non halal, it is okay for me.",0,"['long', 'restaurant', 'hall']","[638, 269, 131, 3, 1098, 1256, 88, 1725, 1259, 467]"
418,418,361,Religion,Islam,"They will not expect Muslims to go there and eat too, so why the fuss?",0,"['expect', 'muslim', 'go', 'eat', 'fuss']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
419,419,362,Religion,Islam,Vigilantism runs deep in Islam.,0,"['vigilantism', 'run', 'deep', 'slam']","[231, 19, 382, 803, 31, 35, 560, 331, 12, 250]"
420,420,362,Religion,Islam,"Al-qaeda, isis, hezbullah, hamas.",0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
421,421,362,Religion,Islam,We are told to fight for islam (jihad) but the prophet put guidelines on how.,0,"['tell', 'fight', 'prophet', 'put', 'guideline']","[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
422,422,362,Religion,Islam,These people just follow their emotions and called it jihad.,0,"['people', 'follow', 'emotion', 'call']","[49, 640, 553, 24, 240, 87, 641, 328, 35, 204]"
423,423,362,Religion,Islam,They will be questioned in the afterlife.,0,"['question', 'afterlife']","[292, 24, 35, 78, 530, 383, 173, 935, 381, 379]"
424,424,363,Race,Indian," if you think the meleis were wrong, why the fuck you go all out to defend that indian lady who behave the same?",0,"['think', 'mile', 'wrong', 'fuck', 'go', 'defend']","[608, 376, 164, 144, 325, 267, 483, 807, 595, 269]"
425,425,364,Race,Multiple,just because korang majority doesn't mean you have the right to say shit like this.,0,"['mean', 'say', 'shit']","[902, 73, 581, 53, 1248, 815, 167, 1421, 123, 32]"
426,426,364,Race,Multiple,they are just as malaysian as you are and have a right to stay in NEGARA ASAL as you.,0,['stay'],"[22, 687, 1195, 831, 78, 328, 30, 1815, 88, 1151]"
427,427,366,Race,Unknown,move to other country if you don't want to follow us,1,"['move', 'country', 'want', 'follow']","[794, 604, 130, 660, 1673, 425, 695, 73, 50, 45]"
428,428,367,Race,Chinese,Casual malay finding out cina babi give back to the society by supporting education and sjkc schools,0,"['malay', 'find', 'give', 'society', 'support', 'education', 'sake', 'school']","[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
429,429,368,Gender,Female,Women are whores and take massive cock by western soyciety,1,"['woman', 'shore', 'take', 'massive', 'cock', 'western', 'society']","[118, 206, 953, 995, 1103, 35, 1021, 891, 1101, 333]"
430,430,369,Race,Chinese,"You are not real Chinese, you are mixed",1,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
431,431,370,Gender,Female,I hope that noodle toilet kills herself with a dog dick stuck in her inflated,1,"['hope', 'noble', 'inflate']","[776, 240, 24, 914, 589, 715, 1172, 35, 1103, 717]"
432,432,371,Race,Malay,We must start the great Race War.,1,"['start', 'great', 'face', 'war']","[141, 764, 24, 117, 1230, 790, 13, 129, 317, 107]"
433,433,372,Gender,Male,"If this continues to happen, more and more young men are gonna be radicalized in different movements.",0,"['continue', 'happen', 'young', 'man', 'donna', 'radicalize', 'different', 'movement']","[141, 764, 24, 117, 1230, 790, 13, 129, 317, 107]"
434,434,373,Race,Chinese,Why doesn't he just go back to China?,1,"['go', 'back']","[153, 169, 166, 78, 177, 551, 739, 129, 810, 1810]"
435,435,374,Race,Chinese,The ricecel should have banged her face in with a frying pan for being a traitor to the rice race,1,"['ricecel', 'banged', 'face', 'try', 'rice', 'race']","[128, 946, 500, 70, 1335, 35, 85, 45, 844, 1362]"
436,436,375,Race,Multiple,Too many Chinese and Indian parents think their teens and young adults should be quiet respectful number crunchers and then when they're older wonder why they can't move up the corporate ladder or obtain leadership roles.,0,"['many', 'chinese', 'indian', 'parent', 'think', 'ten', 'young', 'adult', 'quiet', 'respectful', 'number', 'rancher', 'old', 'wonder', 'move', 'corporate', 'ladder', 'obtain', 'leadership', 'role']","[844, 1170, 558, 414, 0, 310, 309, 35, 240, 779]"
437,437,376,Race,Chinese,Chinese people should be exterminated in gas chambers,1,"['chinese', 'people', 'exterminate', 'gas', 'chamber']","[74, 6, 1700, 1015, 1016, 1014, 1060, 2141, 1438, 1284]"
438,438,377,Religion,Islam,Muslims should be exterminated in gas chambers.,1,"['exterminate', 'gas', 'chamber']","[74, 6, 1700, 1015, 1016, 1014, 1060, 2141, 1438, 1284]"
439,439,378,Race,Chinese,Japanese people are better than Chinese people.,1,"['japanese', 'people', 'well', 'chinese', 'people']","[123, 24, 111, 1807, 195, 110, 726, 28, 206, 280]"
440,440,378,Race,Chinese,Chinese people are liars and saidsts.,1,"['chinese', 'people', 'liar', 'saint']","[292, 24, 35, 78, 530, 383, 173, 935, 381, 379]"
441,441,379,Religion,Islam,Christians are better than Muslims,1,"['christian', 'well', 'muslim']","[0, 1700, 216, 12, 225, 730, 258, 71, 175, 1645]"
442,442,382,Religion,Christianity,Jesus get ass-raped by Romans and it's funny,1,"['get', 'assrapid', 'roman', 'funny']","[377, 222, 491, 296, 7, 35, 1020, 1665, 100, 563]"
443,443,383,Religion,Islam,Looking for an anti-islam group.,0,"['look', 'group']","[118, 206, 953, 995, 1103, 35, 1021, 891, 1101, 333]"
444,444,383,Religion,Islam,Does they exist?,0,['exist'],"[67, 267, 13, 23, 110, 407, 405, 408, 406, 993]"
445,445,384,Race,Malay,"This whole ""pribumi vs. pendatang"" thing was started by the Malays themselves.",0,"['whole', 'pribumi', 'pendatang', 'thing', 'start', 'always']","[88, 420, 235, 232, 82, 87, 233, 234, 66, 1879]"
446,446,385,Race,Malay,No orang asli would call melayu pendatang unless it's you.,0,"['call', 'delay', 'pendatang']","[195, 859, 266, 168, 78, 1485, 879, 924, 625, 572]"
447,447,385,Race,Malay,Org melayu and asli have lived peacefully together for centuries.,0,"['live', 'peacefully', 'together', 'century']","[244, 120, 32, 94, 24, 293, 403, 346, 402, 401]"
448,448,386,Race,Malaysian,"Wud b nice 2 simply appreciate n thankful v hv a country v can call home, which large majority of Malaysians feel: Malay, Chinese, Indian, Sikh, Bengali, Punjabi, Iban, Kadazan, Bidayuh, Dusun, Org Asli, Serani, Siamese, Portuguese, n all d mixed-race Msians, etc, etc.",0,"['mud', 'b', 'nice', 'simply', 'appreciate', 'thankful', 'country', 'call', 'home', 'large', 'majority', 'malaysian', 'feel', 'indian', 'bengal', 'mixedrace', 'sign']","[513, 494, 300, 418, 175, 1027, 396, 87, 266, 1596]"
449,449,387,Race,Malay,"Since when historicly, archeology and anthropological evidence say that Malay are pendatang?",0,"['historical', 'archeology', 'anthropological', 'evidence', 'say', 'malay', 'pendatang']","[1034, 572, 73, 1035, 23, 1032, 1033, 349, 231, 1959]"
450,450,388,Race,Unknown,"keep crying pendatang, your race is always been recognised as pendatang and you guys love to provoke issues about the real bumis",1,"['keep', 'cry', 'pendatang', 'race', 'always', 'recognise', 'gun', 'love', 'provoke', 'issue', 'real', 'boris']","[73, 341, 1479, 935, 39, 377, 240, 1202, 84, 902]"
451,451,389,Race,Malay,It's very sad that the actual natives of this country are being treated like this in their homeland.,0,"['sad', 'actual', 'native', 'country', 'treat', 'holland']","[50, 83, 661, 588, 5, 24, 1935, 2074, 1279, 1182]"
452,452,389,Race,Malay,Like the Native Americans when the Europeans came�.,0,"['native', 'european']","[794, 604, 130, 660, 1673, 425, 695, 73, 50, 45]"
453,453,389,Race,Malay,"Their land, culture, livelihood� all gone.",0,"['land', 'culture', 'go']","[153, 169, 166, 78, 177, 551, 739, 129, 810, 1810]"
454,454,390,Race,Multiple,Ask any orang asli.. they see all of us as pendatang disturbing their routine.. in all way.. ?,0,"['see', 'pendatang', 'disturb', 'routine', 'way']","[195, 859, 266, 168, 78, 1485, 879, 924, 625, 572]"
455,455,390,Race,Multiple,?..,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
456,456,391,Religion,Islam,"How come we're able to police people who want to eat during the day in Ramadan, but we're not able to police people smoking at eateries?",0,"['come', 'able', 'police', 'people', 'want', 'eat', 'unable', 'police', 'people', 'smoking', 'artery']","[49, 640, 553, 24, 240, 87, 641, 328, 35, 204]"
457,457,392,Religion,Islam,"They're your people (carrying out God's commandments), you tell us why.",0,"['people', 'carry', 'commandment', 'tell']","[292, 24, 35, 78, 530, 383, 173, 935, 381, 379]"
458,458,393,Race,Indian,"You can build world class infra,  but you can't eliminate third class mentality",0,"['build', 'world', 'class', 'infra', 'eliminate', 'third', 'class', 'mentality']","[1049, 1158, 1875, 1376, 1582, 203, 757, 123, 706, 300]"
459,459,394,Race,Indian,Strict Social Credit System should be applied in India.,0,"['strict', 'social', 'credit', 'system', 'apply']","[193, 506, 1474, 553, 1052, 1053, 415, 24, 1732, 416]"
460,460,394,Race,Indian,Look  bad social credit score can make one's life a hell in China.,0,"['take', 'bad', 'social', 'credit', 'score', 'make', 'life', 'hell']","[193, 506, 1474, 553, 1052, 1053, 415, 24, 1732, 416]"
461,461,394,Race,Indian,We need this system ASAP.,0,"['need', 'system', 'asap']","[129, 254, 13, 758, 466, 1306, 887, 888, 889, 853]"
462,462,394,Race,Indian,At least for 2 generations.,0,"['least', 'generation']","[791, 361, 1331, 784, 677, 1177, 148, 8, 19, 1178]"
463,463,395,Race,Indian,I'm sick of seeing all these filthy #Indians  spamming the comment sections under posts,0,"['sick', 'see', 'filthy', 'slamming', 'comment', 'section', 'post']","[608, 376, 164, 144, 325, 267, 483, 807, 595, 269]"
464,464,396,Gender,Female,These whores always want BBC,1,"['shore', 'always', 'want']","[118, 206, 953, 995, 1103, 35, 1021, 891, 1101, 333]"
465,465,397,Gender,Female,"I had to endure watching those whores brag on about how they lost their virginity at 14-15 or younger, whilst I was rotting on Vidya, YouTube, fapping, and desperately researching ways online to improve my social skills, clothing styles, etc.",0,"['endure', 'watch', 'shore', 'brag', 'lose', 'younger', 'trot', 'idea', 'youtube', 'tap', 'desperately', 'search', 'way', 'online', 'improve', 'social', 'skill', 'clothing', 'style', 'etc']","[29, 935, 30, 1550, 369, 1775, 806, 418, 852, 125]"
466,466,398,Race,Indian,def raped by an indian,1,['indian'],"[125, 76, 514, 255, 2034, 1403, 450, 215, 687, 494]"
