,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
375,325,Gender,Female,She's not allowed to help her family with a building project because she's a woman?,0,"['forbid', 'help', 'family', 'building', 'project', 'woman']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
376,326,Gender,Female,Women can't be honest so they make excuses because they don't want to be rude.,0,"['women', 'differ', 'honest', 'make', 'excuses', 'want', 'rude']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
377,327,Gender,Female,Her frame is malleable... Frame her a horny woman who is trying to suck your cock.,0,"['frame', 'malleable', 'frame', 'horny', 'woman', 'trying', 'suck', 'cock']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
378,328,Gender,Female,The masculine urge to never let a woman into your life again or get to know you again.,1,"['masculine', 'urge', 'forbid', 'woman', 'life', 'get', 'know']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
379,328,Gender,Female,All women do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['women', 'suck', 'life', 'love', 'leave', 'nothing', 'pain', 'sadness']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
380,328,Gender,Female,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
381,329,Gender,Male,The masculine urge to never let a man into your life again or get to know you again.,1,"['masculine', 'urge', 'forbid', 'man', 'life', 'get', 'know']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
382,329,Gender,Male,All men do is suck the life and love out of you and leave you with nothing but pain and sadness.,1,"['men', 'suck', 'life', 'love', 'leave', 'nothing', 'pain', 'sadness']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
383,329,Gender,Male,They don't care about the damage they perform.,1,"['care', 'damage', 'perform']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
384,330,Gender,Female,There's a difference between a woman and a succubus,0,"['difference', 'woman', 'succubus']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
385,331,Gender,Male,Looks don't matter for men.,0,"['looks', 'matter', 'men']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
386,332,Gender,Female, Many experiments have shown that even artificially generated women created to be as repulsive looking as possible can get dates from men in online dating.,0,"['many', 'experiments', 'shown', 'artificially', 'generated', 'women', 'created', 'repulsive', 'looking', 'possible', 'get', 'dates', 'men', 'online', 'dating']","[1064, 19, 316, 2311, 1990, 136, 87, 28, 1379, 1224]"
387,333,Gender,Female,we shouId not put women our main focus,0,"['shouid', 'call_option', 'women', 'main', 'focus']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
388,335,Gender,Female, stopped viewing women as conquests and talked to them as people- and more often than not they actively engage in conversation;,0,"['stopped', 'viewing', 'women', 'conquests', 'talked', 'people', 'often', 'actively', 'engage', 'conversation']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
389,339,Gender,Female,elicious bootylicious tittylicious bodylicious bitches dress up like hoes during the summer time,1,"['elicious', 'bootylicious', 'tittylicious', 'bodylicious', 'bitches', 'dress', 'like', 'hoes', 'summer', 'time']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
390,340,Gender,Female,I've always found bitches very delicious.,1,"['found', 'bitches', 'delicious']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
391,340,Gender,Female,I just want to rape them and cook them up and eat them up.,1,"['want', 'rape', 'cook', 'eat']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
392,341,Gender,Female,I urge to just grab a bitches nice sumptuous delicious jiggly thighs and jiggly tits when they dress like hoes.,1,"['urge', 'grab', 'bitches', 'nice', 'sumptuous', 'delicious', 'jiggly', 'thighs', 'jiggly', 'tits', 'dress', 'like', 'hoes']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
393,342,Gender,Female,I should just not give a fuck about this feminazi concentration camp of a world and not care what the bullshit propaganda media says,0,"['take', 'fuck', 'feminazi', 'concentration', 'camp', 'world', 'care', 'bullshit', 'propaganda', 'media', 'says']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
394,343,Gender,Male,"society hate us, our family hates us, we are the subject of humiliation, jokes at work, our neighbors think we are strange, the media thinks we are all crazy extremists",0,"['society', 'hate', 'family', 'hates', 'subject', 'humiliation', 'jokes', 'work', 'neighbors', 'think', 'strange', 'media', 'thinks', 'crazy', 'extremists']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
395,344,Gender,Female,"Even if you do get a girlfriend, she'll be through 30+ chads and will see you as a disposable drop on the bucket.",1,"['get', 'girlfriend', 'chads', 'see', 'disposable', 'drop', 'bucket']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
396,346,Gender,Female,"Romance and dating is such a lie, and its feminine Ilogical bs.",1,"['romance', 'dating', 'lie', 'feminine', 'ilogical', 'bs']","[221, 97, 891, 401, 220, 1120, 400, 402, 901, 423]"
397,346,Gender,Female,"Back in the day, w0men were married off, or you as a man go and get a w0men, go raid with your friend (In skyrim).",1,"['back', 'day', 'wmen', 'married', 'man', 'go', 'get', 'wmen', 'go', 'raid', 'friend', 'skyrim']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
398,347,Gender,Male,"if you don't have woman, you are gay",1,"['lack', 'woman', 'gay']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
399,348,Gender,Female,"women aren't just damaging a woman's long term prospects by accusations of being promiscuous, but artificially inflating the price of sex so actual sluts stand down or hide that shit so other females won't have those expectations from their future beta-husbands.",0,"['women', 'unfair', 'damaging', 'woman', 'long', 'term', 'prospects', 'accusations', 'promiscuous', 'artificially', 'inflating', 'price', 'sex', 'actual', 'sluts', 'stand', 'hide', 'shit', 'females', 'lack', 'expectations', 'future', 'betahusbands']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
400,349,Race,Malay,"Wow, this sounds just like how malay treat non-malays",0,"['wow', 'sounds', 'like', 'malay', 'treat', 'nonmalays']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
401,350,Gender,Female,"Woman is shallow, bitter, and animalistic",1,"['woman', 'shallow', 'bitter', 'animalistic']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
402,352,Gender,Male,It's only a problem when males start pointing it out.,0,"['problem', 'males', 'start', 'pointing']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
403,353,Gender,Male, Men are constantly trying to one up each other but we tend to be more obvious about it.,0,"['men', 'constantly', 'trying', 'one', 'tend', 'obvious']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
404,354,Gender,Female,sex is the only thing women have to offer.,1,"['sex', 'thing', 'women', 'offer']","[86, 1291, 1902, 17, 885, 638, 733, 1344, 766, 314]"
405,355,Race,Indian,i will sell you to apunene if you are naughty,1,"['sell', 'apunene', 'naughty']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
406,356,Race,Malay,"If I had one wish, I'd wish for the Malays to be born as minorities in this country.",1,"['one', 'wish', 'wish', 'malays', 'born', 'minorities', 'country']","[1842, 29, 499, 1306, 470, 496, 192, 498, 497, 327]"
407,357,Race,Multiple,"Malaysia, the country that spell MALAY in it, is for Malay only",1,"['malaysia', 'country', 'spell', 'malay', 'malay']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
408,358,Race,Malay,You are lucky that Malay has high tolerance.,0,"['lucky', 'malay', 'high', 'tolerance']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
409,360,Race,Chinese,Did they realise that chinese hate them more than malays hate babi/anjing,0,"['realise', 'chinese', 'hate', 'malays', 'hate', 'babi', 'anjing']","[197, 1285, 637, 2046, 2728, 1991, 55, 138, 221, 93]"
410,361,Religion,Islam,I don't really mind if there is non halal malay food.,0,"['really', 'mind', 'non', 'halal', 'malay', 'food']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
411,361,Religion,Islam,"As long it is cater for non Muslim and the restaurant is non halal, it is okay for me.",0,"['long', 'cater', 'non', 'muslim', 'restaurant', 'non', 'halal', 'okay']","[452, 451, 1312, 591, 588, 28, 432, 1062, 27, 41]"
412,361,Religion,Islam,"They will not expect Muslims to go there and eat too, so why the fuss?",0,"['expect', 'muslims', 'go', 'eat', 'fuss']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
413,362,Religion,Islam,Vigilantism runs deep in Islam.,0,"['vigilantism', 'runs', 'deep', 'islam']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
414,362,Religion,Islam,"Al-qaeda, isis, hezbullah, hamas.",0,"['alqaeda', 'isis', 'hezbullah', 'hamas']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
415,362,Religion,Islam,We are told to fight for islam (jihad) but the prophet put guidelines on how.,0,"['told', 'fight', 'islam', 'jihad', 'prophet', 'put', 'guidelines']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
416,362,Religion,Islam,These people just follow their emotions and called it jihad.,0,"['people', 'follow', 'emotions', 'called', 'jihad']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
417,362,Religion,Islam,They will be questioned in the afterlife.,0,"['questioned', 'afterlife']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
418,363,Race,Indian," if you think the meleis were wrong, why the fuck you go all out to defend that indian lady who behave the same?",0,"['think', 'meleis', 'wrong', 'fuck', 'go', 'defend', 'indian', 'lady', 'behave']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
419,364,Race,Multiple,just because korang majority doesn't mean you have the right to say shit like this.,0,"['korang', 'majority', 'mean', 'right', 'say', 'shit', 'like']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
420,364,Race,Multiple,they are just as malaysian as you are and have a right to stay in NEGARA ASAL as you.,0,"['malaysian', 'right', 'stay', 'negara', 'asal']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
421,366,Race,Unknown,move to other country if you don't want to follow us,1,"['move', 'country', 'want', 'follow']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
422,367,Race,Chinese,Casual malay finding out cina babi give back to the society by supporting education and sjkc schools,0,"['casual', 'malay', 'finding', 'cina', 'babi', 'give', 'back', 'society', 'supporting', 'education', 'sjkc', 'schools']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
423,368,Gender,Female,Women are whores and take massive cock by western soyciety,1,"['women', 'whores', 'take', 'massive', 'cock', 'western', 'soyciety']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
424,369,Race,Chinese,"You are not real Chinese, you are mixed",1,"['insubstantial', 'chinese', 'mixed']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
425,370,Gender,Female,I hope that noodle toilet kills herself with a dog dick stuck in her inflated,1,"['hope', 'noodle', 'toilet', 'kills', 'dog', 'dick', 'stuck', 'inflated']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
426,371,Race,Malay,We must start the great Race War.,1,"['must', 'start', 'great', 'race', 'war']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
427,372,Gender,Male,"If this continues to happen, more and more young men are gonna be radicalized in different movements.",0,"['continues', 'happen', 'young', 'men', 'radicalized', 'different', 'movements']","[601, 392, 128, 217, 1708, 2528, 820, 836, 1826, 587]"
428,373,Race,Chinese,Why doesn't he just go back to China?,1,"['go', 'back', 'china']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
429,374,Race,Chinese,The ricecel should have banged her face in with a frying pan for being a traitor to the rice race,1,"['ricecel', 'banged', 'face', 'frying', 'pan', 'traitor', 'rice', 'race']","[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
430,375,Race,Multiple,Too many Chinese and Indian parents think their teens and young adults should be quiet respectful number crunchers and then when they're older wonder why they can't move up the corporate ladder or obtain leadership roles.,0,"['many', 'chinese', 'indian', 'parents', 'think', 'teens', 'young', 'adults', 'quiet', 'respectful', 'number', 'crunchers', 'older', 'wonder', 'stand_still', 'corporate', 'ladder', 'obtain', 'leadership', 'roles']","[909, 1499, 1717, 1721, 743, 47, 143, 0, 487, 1021]"
431,376,Race,Chinese,Chinese people should be exterminated in gas chambers,1,"['chinese', 'people', 'exterminated', 'gas', 'chambers']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
432,377,Religion,Islam,Muslims should be exterminated in gas chambers.,1,"['muslims', 'exterminated', 'gas', 'chambers']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
433,378,Race,Chinese,Japanese people are better than Chinese people.,1,"['japanese', 'people', 'better', 'chinese', 'people']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
434,378,Race,Chinese,Chinese people are liars and saidsts.,1,"['chinese', 'people', 'liars', 'saidsts']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
435,379,Religion,Islam,Christians are better than Muslims,1,"['christians', 'better', 'muslims']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
436,382,Religion,Christianity,Jesus get ass-raped by Romans and it's funny,1,"['jesus', 'get', 'assraped', 'romans', 'funny']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
437,383,Religion,Islam,Looking for an anti-islam group.,0,"['looking', 'antiislam', 'group']","[1064, 19, 316, 2311, 1990, 136, 87, 28, 1379, 1224]"
438,383,Religion,Islam,Does they exist?,0,['exist'],"[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
439,384,Race,Malay,"This whole ""pribumi vs. pendatang"" thing was started by the Malays themselves.",0,"['whole', 'pribumi', 'vs', 'pendatang', 'thing', 'started', 'malays']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
440,385,Race,Malay,No orang asli would call melayu pendatang unless it's you.,0,"['orang', 'asli', 'would', 'call', 'melayu', 'pendatang', 'unless']","[197, 1285, 637, 2046, 2728, 1991, 55, 138, 221, 93]"
441,385,Race,Malay,Org melayu and asli have lived peacefully together for centuries.,0,"['org', 'melayu', 'asli', 'lived', 'peacefully', 'together', 'centuries']","[443, 342, 336, 1433, 1273, 205, 2589, 1056, 2116, 1432]"
442,386,Race,Malaysian,"Wud b nice 2 simply appreciate n thankful v hv a country v can call home, which large majority of Malaysians feel: Malay, Chinese, Indian, Sikh, Bengali, Punjabi, Iban, Kadazan, Bidayuh, Dusun, Org Asli, Serani, Siamese, Portuguese, n all d mixed-race Msians, etc, etc.",0,"['wud', 'b', 'nice', 'simply', 'appreciate', 'n', 'thankful', 'v', 'hv', 'country', 'v', 'call', 'home', 'large', 'majority', 'malaysians', 'feel', 'malay', 'chinese', 'indian', 'sikh', 'bengali', 'punjabi', 'iban', 'kadazan', 'bidayuh', 'dusun', 'org', 'asli', 'serani', 'siamese', 'portuguese', 'n', 'mixedrace', 'msians']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
443,387,Race,Malay,"Since when historicly, archeology and anthropological evidence say that Malay are pendatang?",0,"['since', 'historicly', 'archeology', 'anthropological', 'evidence', 'say', 'malay', 'pendatang']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
444,388,Race,Unknown,"keep crying pendatang, your race is always been recognised as pendatang and you guys love to provoke issues about the real bumis",1,"['keep', 'crying', 'pendatang', 'race', 'recognised', 'pendatang', 'guys', 'love', 'provoke', 'issues', 'real', 'bumis']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
445,389,Race,Malay,It's very sad that the actual natives of this country are being treated like this in their homeland.,0,"['sad', 'actual', 'natives', 'country', 'treated', 'like', 'homeland']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
446,389,Race,Malay,Like the Native Americans when the Europeans came….,0,"['like', 'native', 'americans', 'europeans']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
447,389,Race,Malay,"Their land, culture, livelihood… all gone.",0,"['land', 'culture', 'gone']","[635, 1102, 1180, 3010, 2292, 378, 20, 136, 682, 3]"
448,390,Race,Multiple,Ask any orang asli.. they see all of us as pendatang disturbing their routine.. in all way..,0,"['ask', 'orang', 'asli', 'see', 'pendatang', 'disturbing', 'routine', 'way']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
449,391,Religion,Islam,"How come we're able to police people who want to eat during the day in Ramadan, but we're not able to police people smoking at eateries?",0,"['come', 'able', 'police', 'people', 'want', 'eat', 'day', 'ramadan', 'unable', 'police', 'people', 'smoking', 'eateries']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
450,392,Religion,Islam,"They're your people (carrying out God's commandments), you tell us why.",0,"['people', 'carrying', 'god', 'commandments', 'tell']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
451,393,Race,Indian,"You can build world class infra,  but you can't eliminate third class mentality",0,"['build', 'world', 'class', 'infra', 'necessitate', 'third', 'class', 'mentality']","[443, 342, 336, 1433, 1273, 205, 2589, 1056, 2116, 1432]"
452,394,Race,Indian,Strict Social Credit System should be applied in India.,0,"['strict', 'social', 'credit', 'system', 'applied', 'india']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
453,394,Race,Indian,Look  bad social credit score can make one's life a hell in China.,0,"['look', 'bad', 'social', 'credit', 'score', 'make', 'one', 'life', 'hell', 'china']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
454,394,Race,Indian,We need this system ASAP.,0,"['need', 'system', 'asap']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
455,394,Race,Indian,At least for 2 generations.,0,"['least', 'generations']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
456,395,Race,Indian,I'm sick of seeing all these filthy #Indians  spamming the comment sections under posts,0,"['sick', 'seeing', 'filthy', 'indians', 'spamming', 'comment', 'sections', 'posts']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
457,396,Gender,Female,These whores always want BBC,1,"['whores', 'want', 'bbc']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
458,397,Gender,Female,"I had to endure watching those whores brag on about how they lost their virginity at 14-15 or younger, whilst I was rotting on Vidya, YouTube, fapping, and desperately researching ways online to improve my social skills, clothing styles, etc.",0,"['endure', 'watching', 'whores', 'brag', 'lost', 'virginity', 'younger', 'whilst', 'rotting', 'vidya', 'youtube', 'fapping', 'desperately', 'researching', 'ways', 'online', 'improve', 'social', 'skills', 'clothing', 'styles']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
459,398,Race,Indian,def raped by an indian,1,"['def', 'raped', 'indian']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
460,400,Religion,Islam,Mohammed burning in hell fire !,1,"['mohammed', 'burning', 'hell', 'fire']","[2038, 1438, 775, 205, 211, 2082, 2083, 1454, 2233, 349]"
461,401,Religion,Christianity,Those Christians are kuffar,0,"['christians', 'kuffar']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
462,402,Religion,Islam,i want to ask muslims that why has islam failed to teach them morality?,0,"['want', 'ask', 'muslims', 'islam', 'failed', 'teach', 'morality']","[197, 1285, 637, 2046, 2728, 1991, 55, 138, 221, 93]"
463,403,Religion,Islam,Muslims are the single most reason for most of the miseries in the world.,1,"['muslims', 'single', 'reason', 'miseries', 'world']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
464,405,Religion,Islam,Teachings of a Pedophile Prophet maybe.,1,"['teachings', 'pedophile', 'prophet', 'maybe']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
465,406,Gender,Female,You never had a chance man unless you're 6'4 women treat you like you're invisible.,0,"['lack', 'chance', 'man', 'unless', 'women', 'treat', 'like', 'invisible']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
466,409,Gender,Female,"Men can reproduce easily and painlessly just by planting their seed in the female, whereas the female has to carry the child in hER womb for 9 months followed by painful childbirth, so the “cost of reproduction” is much highER for women, hence they have much highER standards when it comes to mate selection based on their biological programming (hence when it comes to mate selection based on genetic quality",0,"['men', 'reproduce', 'easily', 'painlessly', 'planting', 'seed', 'female', 'whereas', 'female', 'carry', 'child', 'womb', 'months', 'followed', 'painful', 'childbirth', 'cost', 'reproduction', 'much', 'higher', 'women', 'hence', 'much', 'higher', 'standards', 'comes', 'mate', 'selection', 'based', 'biological', 'programming', 'hence', 'comes', 'mate', 'selection', 'based', 'genetic', 'quality']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
467,410,Gender,Female,ThERe is also plenty of historic evidence of womens' treachorous nature and their “lack of loyalty”,0,"['plenty', 'historic', 'evidence', 'womens', 'treachorous', 'nature', 'lack', 'loyalty']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
468,411,Gender,Female,"Assume she has a boyfriend or has casual sex with people a lot more attractive than you, that's nearly always the case unless they're too picky for their own looks.",0,"['assume', 'boyfriend', 'casual', 'sex', 'people', 'lot', 'attractive', 'nearly', 'case', 'unless', 'picky', 'looks']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
469,412,Religion,Islam,"Its called ""honor killing"", its done by a brother (like in this case) or other male relative like uncle or cousin",0,"['called', 'honor', 'killing', 'done', 'brother', 'like', 'case', 'male', 'relative', 'like', 'uncle', 'cousin']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
470,413,Religion,Islam,"Muslims love goats so much, they end up marrying them",1,"['muslims', 'love', 'goats', 'much', 'end', 'marrying']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
471,415,Religion,Islam,"These muslim woman looks like trashbags, no wonder they are disposable carbage",1,"['muslim', 'woman', 'looks', 'like', 'trashbags', 'wonder', 'disposable', 'carbage']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
472,416,Religion,Islam,Islam is a religion of peace,0,"['islam', 'religion', 'peace']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
473,417,Religion,Islam,"Before you start whining about Islam or some other silly thing, even they don't hate women.",0,"['start', 'whining', 'islam', 'silly', 'thing', 'love', 'women']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
474,417,Religion,Islam,"You'd have to listen to those men to find that out, which is clearly not on the menu.",0,"['listen', 'men', 'find', 'clearly', 'menu']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
475,418,Race,Indian,you're not superior to other races just because you're indian,0,"['adscript', 'races', 'indian']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
476,419,Gender,Female,There was a fight between some white girls.,0,"['fight', 'white', 'girls']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
477,420,Race,Indian,Definitely indians.,1,"['definitely', 'indians']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
478,420,Race,Indian,"They do this shit all the time, and then sell the stuff they stole to pawn shops.",1,"['shit', 'time', 'sell', 'stuff', 'stole', 'pawn', 'shops']","[1685, 1895, 121, 165, 1091, 1711, 2919, 557, 745, 2895]"
479,423,Gender,Female,Females have no shame.,1,"['females', 'honor']","[197, 1285, 637, 2046, 2728, 1991, 55, 138, 221, 93]"
480,423,Gender,Female,They should feel embarrassed and ASHAMED to talk to fit men.,1,"['feel', 'embarrassed', 'ashamed', 'talk', 'fit', 'men']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
481,426,Race,Malay,The vast majority of women who work here are Malay women,0,"['vast', 'majority', 'women', 'work', 'malay', 'women']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
482,427,Gender,Male,Those 1000 tinder matches don't mean much because most men swipe right on everyone AND a Tinder right swipe does not mean a long term relationship.,0,"['tinder', 'matches', 'mean', 'much', 'men', 'swipe', 'right', 'everyone', 'tinder', 'right', 'swipe', 'mean', 'long', 'term', 'relationship']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
483,428,Race,Malay,May 13 happens because Meleis heard rumours that someone who won the election kill  meleis.,0,"['may', 'happens', 'meleis', 'heard', 'rumours', 'someone', 'election', 'kill', 'meleis']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
484,428,Race,Malay,Rumours bro rumours.,0,"['rumours', 'bro', 'rumours']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
485,429,Race,Multiple,"The winning party, which originally is the opposition, won and was celebrating on the street.",0,"['winning', 'party', 'originally', 'opposition', 'celebrating', 'street']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
486,429,Race,Multiple,Winning party consist of multiracial groups of ppl.,0,"['winning', 'party', 'consist', 'multiracial', 'groups', 'ppl']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
487,430,Religion,Multiple,Then havoc happen due to the rumours.,0,"['havoc', 'happen', 'due', 'rumours']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
488,430,Religion,Multiple,People start to go hysteria about it and start killing ppl everywhere they go as long as they are not Muslim or meleis.,0,"['people', 'start', 'go', 'hysteria', 'start', 'killing', 'ppl', 'everywhere', 'go', 'long', 'muslim', 'meleis']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
489,432,Religion,Islam," He drinks and gamble with his Chinese friend, which is not align with muse slim teaching.",0,"['drinks', 'gamble', 'chinese', 'friend', 'skew', 'muse', 'slim', 'teaching']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
490,433,Religion,Multiple,"The issue of religion idiocy, racism and  extremist, all being manipulate by ppl.",0,"['issue', 'religion', 'idiocy', 'racism', 'extremist', 'manipulate', 'ppl']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
491,434,Race,Malay,"why those malays who are aware of the issues in Malaysia decide to send their kids to Chinese schools, international school and private schools",0,"['malays', 'aware', 'issues', 'malaysia', 'decide', 'send', 'kids', 'chinese', 'schools', 'international', 'school', 'private', 'schools']","[698, 367, 688, 283, 57, 1414, 1550, 474, 284, 2881]"
492,436,Race,Malay,Typical malays... Driving dangerously,1,"['typical', 'malays', 'driving', 'dangerously']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
493,437,Race,Unknown,Don't play racial card here.,0,"['tightness', 'racial', 'card']","[1685, 1895, 121, 165, 1091, 1711, 2919, 557, 745, 2895]"
494,438,Gender,Female,Dont underestimate foid ability to appear as pure and innocent.,1,"['overvalue', 'foid', 'ability', 'appear', 'pure', 'innocent']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
495,438,Gender,Female,They evolved for millions of years to dupe and manipulate men.,1,"['evolved', 'millions', 'years', 'dupe', 'manipulate', 'men']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
496,439,Race,Chinese,"Not only Malays do that, Chinese also do the same",0,"['malays', 'chinese']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
497,441,Race,Malay,Why arson case not arrested?,1,"['arson', 'case', 'arrested']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
498,441,Race,Malay,Because chimpanzee malays are behind it?,1,"['chimpanzee', 'malays', 'behind']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
499,442,Race,Chinese,Anwar is weak.,1,"['anwar', 'weak']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
